snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,supportCNL1L2L3,supportL1L2L3,L1,L2,L3,a,fromValue,fromUnit,b,toValue,toUnit
Galactosylceramide beta-galactosidase deficiency (disorder),192782005,Krabbe disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"Children who develop the disease later in childhood may have a somewhat longer life expectancy, usually between two and seven years after diagnosis.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Galactosylceramide beta-galactosidase deficiency (disorder),192782005,Krabbe disease,PERMANENT,0.0011520737327188,"There's no cure for Krabbe disease, and treatment focuses on supportive care.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Progressive supranuclear palsy (disorder),192976002,Progressive supranuclear palsy,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.1666666666666666,"Progressive supranuclear palsy worsens over time and can lead to life-threatening complications, such as pneumonia and swallowing problems.",MAYO,0.0003865481252415,0.0023192887514495,DECLINE,SLOWLY,FROM 6 MONTH TO 1 YEAR,FROM,6,MONTH,TO,1,YEAR
Progressive supranuclear palsy (disorder),192976002,Progressive supranuclear palsy,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0112781954887218,Progressive supranuclear palsy presents special problems because it can cause changes in your brain that make you feel anxious or laugh or cry for no reason.,MAYO,0.0005798221878623,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Progressive supranuclear palsy (disorder),192976002,Progressive supranuclear palsy,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.011070110701107,They generally get worse over time and may include:,MAYO,0.0005798221878623,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Progressive supranuclear palsy (disorder),192976002,Progressive supranuclear palsy,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,The effects of the injections usually last for up to 3 months,NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Progressive supranuclear palsy (disorder),192976002,Progressive supranuclear palsy,PERMANENT,0.0080645161290322,"Although there is no cure for progressive supranuclear palsy, treatments are available to help ease symptoms of the disorder.",MAYO,0.0013529184383455,0.1677618863548511,PERMANENT,,,,,,,,
Temporal lobe epilepsy (disorder),193000002,Temporal lobe seizure,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,This type of temporal lobe seizure usually lasts 30 seconds to two minutes.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Cluster headache syndrome (disorder),193031009,Cluster headache,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"Bouts of frequent attacks, known as cluster periods, can last from weeks to months, usually followed by remission periods when the headaches stop.",MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Cluster headache syndrome (disorder),193031009,Cluster headache,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,A cluster period generally lasts for several weeks to months.,MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Cluster headache syndrome (disorder),193031009,Cluster headaches,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"The attacks generally last between 15 minutes and 3 hours, and typically occur between 1 and 8 times a day.",NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Cluster headache syndrome (disorder),193031009,Cluster headache,PERMANENT,0.0011520737327188,There's no cure for cluster headaches.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Bell's palsy (disorder),193093009,Bell's palsy,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.0131578947368421,Most people get better within 9 months,NHS,0.0003865481252415,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,FROM,6,MONTH,TO,1,YEAR
Bell's palsy (disorder),193093009,Bell's palsy,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,"In most cases, the weakness is temporary and significantly improves over weeks.",MAYO,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,FROM,8,DAY,TO,2,MONTH
Bell's palsy (disorder),193093009,Bell's palsy,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Symptoms usually start to improve within a few weeks, with complete recovery in about six months.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Bell's palsy (disorder),193093009,Bell's palsy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,Most people with Bell's palsy recover fully — with or without treatment.,MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Marfan's syndrome (disorder),19346006,Marfan syndrome,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,These are major operations that can take a year or more to fully recover from.,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Marfan's syndrome (disorder),19346006,Marfan syndrome,PERMANENT,0.0034562211981566,There's currently no cure for Marfan syndrome,NHS,0.0005798221878623,0.1677618863548511,PERMANENT,,,,,,,,
Insomnia (disorder),193462001,Insomnia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"You can have these symptoms for months, sometimes years.",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Insomnia (disorder),193462001,Insomnia,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Doctors generally don't recommend relying on prescription sleeping pills for more than a few weeks, but several medications are approved for long-term use.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Insomnia (disorder),193462001,Insomnia,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,But some people have long-term (chronic) insomnia that lasts for a month or more.,MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,FROM,8,DAY,TO,2,MONTH
Insomnia (disorder),193462001,Insomnia,PERMANENT,0.0011520737327188,"It's generally considered safe to use melatonin for a few weeks, but no convincing evidence exists to prove that melatonin is an effective treatment for insomnia, and the long-term safety is unknown.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Insomnia (disorder),193462001,Insomnia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,You don't have to put up with sleepless nights.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Cataract (disorder),193570009,Cataracts,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,Healing generally occurs within eight weeks.,MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,FROM,8,DAY,TO,2,MONTH
Cataract (disorder),193570009,Cataracts,PERMANENT,0.0011520737327188,"For most people, there is no rush to remove cataracts because they usually don't harm the eye.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Color blindness (disorder),193683001,Color blindness,PERMANENT,0.0011520737327188,"There's no cure for inherited color deficiencies, but if illness or eye disease is the cause, treatment may improve color vision.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Charles Bonnet syndrome (disorder),193756007,Charles Bonnet syndrome,PERMANENT,0.0011520737327188,There's currently no cure for Charles Bonnet syndrome.,NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Charles Bonnet syndrome (disorder),193756007,Charles Bonnet syndrome,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"They can sometimes occur out of the blue, and can last for a few minutes or several hours.",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Convergence insufficiency (disorder),194131002,Convergence insufficiency,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,Treatment for convergence insufficiency might take three months or longer.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Convergence insufficiency (disorder),194131002,Convergence insufficiency,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If convergence insufficiency isn't causing symptoms, you generally don't need treatment.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
"Meningioma, benign, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",19453003,Meningioma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"Most meningiomas grow very slowly, often over many years without causing symptoms.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
"Meningioma, benign, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",19453003,Meningioma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"These measures won't cure your meningioma, but they may help you feel better as you recover from surgery or help you to cope during radiation therapy.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Angina (disorder),194828000,Angina,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,stops within a few minutes of resting,NHS,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Angina (disorder),194828000,Angina,PERMANENT,0.0011520737327188,You'll probably need to take several different medicines for the rest of your life.,NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Raynaud's disease (disorder),195295006,Raynaud's,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,you're over 30 and get symptoms of Raynaud's for the first time,NHS,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Raynaud's disease (disorder),195295006,Raynaud's disease,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"After warming, it can take 15 minutes for normal blood flow to return to the area.",MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Raynaud's disease (disorder),195295006,Raynaud's disease,PERMANENT,0.0011520737327188,"For most people, Raynaud's disease isn't disabling, but it can affect your quality of life.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Granulomatosis with polyangiitis (disorder),195353004,Granulomatosis with polyangiitis,DECLINE SLOWLY FROM 2 MONTH TO 6 MONTH,0.1428571428571428,Signs and symptoms of granulomatosis with polyangiitis can develop suddenly or over several months.,MAYO,0.0001932740626207,0.0013529184383455,DECLINE,SLOWLY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Granulomatosis with polyangiitis (disorder),195353004,Granulomatosis with polyangiitis (Wegener's granulomatosis),IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"This first stage of treatment lasts until your symptoms are under control, which usually takes a few months.",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,FROM,6,MONTH,TO,1,YEAR
Granulomatosis with polyangiitis (disorder),195353004,Granulomatosis with polyangiitis (Wegener's granulomatosis),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,This stage of treatment typically lasts for 2 to 5 years.,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Granulomatosis with polyangiitis (disorder),195353004,Granulomatosis with polyangiitis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"With early diagnosis and appropriate treatment, you might recover from granulomatosis with polyangiitis within a few months.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Granulomatosis with polyangiitis (disorder),195353004,Granulomatosis with polyangiitis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,With treatment you're likely to recover from granulomatosis with polyangiitis.,MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Granulomatosis with polyangiitis (disorder),195353004,Granulomatosis with polyangiitis (Wegener's granulomatosis),PERMANENT,0.0011520737327188,"GPA is a serious condition but, with treatment, it can usually be kept under control.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Legionella pneumonia (disorder),195889001,Legionnaires' disease,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0048543689320388,Legionnaires' disease usually develops two to 10 days after exposure to legionella bacteria.,MAYO,0.0005798221878623,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,FROM,8,DAY,TO,2,MONTH
Legionella pneumonia (disorder),195889001,Legionnaires' disease,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Pontiac fever goes away on its own without treatment and causes no lingering problems.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Asthma (disorder),195967001,Asthma,PERMANENT,0.0069124423963133,"There's currently no cure, but there are simple treatments that can help keep the symptoms under control so it does not have a big impact on your life.",NHS,0.0011596443757247,0.1677618863548511,PERMANENT,,,,,,,,
Asthma (disorder),195967001,Asthma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,Good long-term control helps you feel better from day to day and can prevent a life-threatening asthma attack.,MAYO,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Pleurisy (disorder),196075003,Pleurisy,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Pleural effusion can lead to shortness of breath that gets progressively worse.,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Pleurisy (disorder),196075003,Pleurisy,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"If your pleurisy is caused by a viral infection, it'll usually get better on its own after a few days.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,FROM,1,DAY,TO,1,WEEK
Primary sclerosing cholangitis (disorder),197441003,Primary sclerosing cholangitis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,Many people diagnosed with primary sclerosing cholangitis before they have symptoms continue to feel generally well for several years.,MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Primary sclerosing cholangitis (disorder),197441003,Primary sclerosing cholangitis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"In most people with primary sclerosing cholangitis, the disease progresses slowly.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Acute pancreatitis (disorder),197456007,Acute pancreatitis,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0869565217391304,Many people are well enough to leave hospital after a few days.,NHS,0.0003865481252415,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK,FROM,1,DAY,TO,1,WEEK
Acute pancreatitis (disorder),197456007,Acute pancreatitis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,"People with mild acute pancreatitis usually start to get better within a week and experience either no further problems, or problems that get better within 48 hours.",NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,FROM,1,DAY,TO,1,WEEK
Acute pancreatitis (disorder),197456007,Acute pancreatitis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If you have mild acute pancreatitis but aren't feeling or being sick and don't have tummy pain, you can usually eat normally.",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Vesicoureteric reflux (disorder),197811007,Vesicoureteral reflux,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If you don't have a heating pad, place a towel or blanket in the dryer for a few minutes to warm it up.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Chronic interstitial cystitis (disorder),197834003,Interstitial cystitis,PERMANENT,0.0046082949308755,"It can have a significant impact on your lifestyle, work, emotional health and relationships, but a number of different treatments can be tried to help relieve the symptoms.",NHS,0.0007730962504831,0.1677618863548511,PERMANENT,,,,,,,,
Chronic interstitial cystitis (disorder),197834003,Interstitial cystitis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,It may take two to four months before you begin to feel pain relief and up to six months to experience a decrease in urinary frequency.,MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Chronic interstitial cystitis (disorder),197834003,Interstitial cystitis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"You might receive dimethyl sulfoxide — also called DMSO — treatment weekly for six to eight weeks, and then have maintenance treatments as needed — such as every couple of weeks, for up to one year.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,FROM,8,DAY,TO,2,MONTH
Female pelvic inflammatory disease (disorder),198130006,Pelvic inflammatory disease (PID),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,Pelvic inflammatory disease can cause pelvic pain that might last for months or years.,MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Female pelvic inflammatory disease (disorder),198130006,Pelvic inflammatory disease,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"If your symptoms haven't started to improve within 3 days, you may be advised to attend hospital for further tests and treatment.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,FROM,1,DAY,TO,1,WEEK
Female pelvic inflammatory disease (disorder),198130006,Pelvic inflammatory disease (PID),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,This risk is generally confined to the first three weeks after insertion.,MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,FROM,8,DAY,TO,2,MONTH
Female pelvic inflammatory disease (disorder),198130006,Pelvic inflammatory disease (PID),PERMANENT,0.0011520737327188,There is no one test that can accurately diagnose pelvic inflammatory disease.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Menopausal flushing (finding),198436008,Hot flashes,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Hot flashes subside gradually for most women, even without treatment, but it can take several years for them to stop.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Menopausal flushing (finding),198436008,Hot flashes,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If hot flashes don't interfere with your life, you probably don't need treatment.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Claustrophobia (finding),19887002,Claustrophobia,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"If you have felt anxious in the last 6 months about being in a confined space or crowded place, or you have avoided these situations for this reason, it's likely that you're affected by claustrophobia.",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Claustrophobia (finding),19887002,Claustrophobia,PERMANENT,0.0011520737327188,Claustrophobia can be successfully treated and cured by gradually being exposed to the situation that causes your fear,NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Claustrophobia (finding),19887002,Claustrophobia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"The symptoms of a panic attack usually peak within 10 minutes, with most attacks lasting between 5 and 30 minutes.",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Retinoblastoma (morphologic abnormality),19906005,Retinoblastoma,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"In most cases, this will likely involve eye exams every few months for the first few years after retinoblastoma treatment ends.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Cirrhosis of liver (disorder),19943007,Cirrhosis,PERMANENT,0.0023041474654377,There's no cure for cirrhosis at the moment,NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,,,,,,,
Hypnotherapy (regime/therapy),19997007,Hypnotherapy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,You're fully in control when under hypnosis and don't have to take on the therapist's suggestions if you don't want to.,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Borderline personality disorder (disorder),20010003,Borderline personality disorder,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,A course of MBT usually lasts around 18 months,NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR,FROM,6,MONTH,TO,1,YEAR
Borderline personality disorder (disorder),20010003,Borderline personality disorder,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Treatment for BPD may last a year or longer, depending on your needs and how you live your life",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Borderline personality disorder (disorder),20010003,Borderline personality disorder,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,The condition seems to be worse in young adulthood and may gradually get better with age.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Borderline personality disorder (disorder),20010003,Borderline personality disorder,PERMANENT,0.0011520737327188,"It can help you identify unmet needs that have led to negative life patterns, which at some time may have been helpful for survival, but as an adult are hurtful in many areas of your life.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Borderline personality disorder (disorder),20010003,Borderline personality disorder,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Don't blame yourself for the disorder, but recognize your responsibility to get it treated",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Contact dermatitis caused by poison ivy (disorder),200823002,Poison ivy rash,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0048543689320388,The rash doesn't get better within a few weeks,MAYO,0.0005798221878623,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,FROM,8,DAY,TO,2,MONTH
Contact dermatitis caused by poison ivy (disorder),200823002,Poison ivy rash,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,The reaction usually develops 12 to 48 hours after exposure and lasts two to three weeks.,MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
Ocular rosacea (disorder),200933006,Ocular rosacea,PERMANENT,0.0023041474654377,"There's no cure for ocular rosacea, but medications and a good eye care routine can help control the signs and symptoms.",MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,,,,,,,
Lupus erythematosus (disorder),200936003,Lupus,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,"Lupus can harm your kidneys in many different ways, and treatments can vary, depending on the type of damage that occurs.",MAYO,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY,FROM,5,MINUTE,TO,1,DAY
Lupus erythematosus (disorder),200936003,Lupus,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.032258064516129,"Often the disease flares up (relapses) and symptoms become worse for a few weeks, sometimes longer.",NHS,0.0001932740626207,0.0059914959412446,DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH,FROM,8,DAY,TO,2,MONTH
Lupus erythematosus (disorder),200936003,Lupus,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"Signs and symptoms may come on suddenly or develop slowly, may be mild or severe, and may be temporary or permanent.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Lupus erythematosus (disorder),200936003,Lupus,PERMANENT,0.0034562211981566,"While there's no cure for lupus, treatments can help control symptoms.",MAYO,0.0005798221878623,0.1677618863548511,PERMANENT,,,,,,,,
Callosity (disorder),201040000,Corns and calluses,PERMANENT,0.0011520737327188,Socks that don't fit properly also can be a problem.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,,,,,,
Morphea (disorder),201049004,Morphea,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,The condition generally lasts several years and then disappears by itself.,MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,FROM,1,YEAR,TO,MORE,YEAR
Morphea (disorder),201049004,Morphea,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,Skin generally begins to improve during the first months of treatment.,MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,FROM,2,MONTH,TO,6,MONTH
