snomedConcept,snomedDesConcept,snomedDesIdentifier,snomedIdentifier
Antigen assay (procedure),von Willebrand factor antigen level (procedure),408275002,121276004
Antigen assay (procedure),Malaria antigen test (procedure),407727009,121276004
Antigen assay (procedure),Candida antigen assay (procedure),398617009,121276004
Antigen assay (procedure),Measles antigen assay (procedure),398518009,121276004
Antigen assay (procedure),Cytomegalovirus early antigen assay (procedure),398504002,121276004
Antigen assay (procedure),"Herpes simplex antigen, enzyme immunoassay (procedure)",398501005,121276004
Antigen assay (procedure),Legionella antigen assay (procedure),398489007,121276004
Antigen assay (procedure),Hepatitis C recombinant immunoblot assay (procedure),398463007,121276004
Antigen assay (procedure),Human leukocyte antigen phenotyping (procedure),397757002,121276004
Antigen assay (procedure),Respiratory syncytial virus antigen level (procedure),315184001,121276004
Antigen assay (procedure),Hepatitis B e antigen test (procedure),313476009,121276004
Antigen assay (procedure),Chlamydia antigen by enzyme-linked immunosorbent assay (procedure),310862001,121276004
Antigen assay (procedure),Chlamydia antigen test (procedure),310861008,121276004
Antigen assay (procedure),Hepatitis B antigen screening (procedure),252405003,121276004
Antigen assay (procedure),Hepatitis A antigen screening (procedure),252404004,121276004
Antigen assay (procedure),Detection of bacterial antigen (procedure),250504009,121276004
Antigen assay (procedure),Human leukocyte antigen isotype determination (procedure),250176003,121276004
Antigen assay (procedure),Hepatitis A test (procedure),165995007,121276004
Antigen assay (procedure),Fungal antigen assay (procedure),122434007,121276004
Antigen assay (procedure),Viral antigen assay (procedure),122433001,121276004
Antigen assay (procedure),Bacterial antigen assay (procedure),122432006,121276004
Antigen assay (procedure),Parainfluenza virus antigen assay (procedure),122364003,121276004
Antigen assay (procedure),Parainfluenza virus 3 antigen assay (procedure),122363009,121276004
Antigen assay (procedure),Parainfluenza virus 2 antigen assay (procedure),122362004,121276004
Antigen assay (procedure),Parainfluenza virus 1 antigen assay (procedure),122361006,121276004
Antigen assay (procedure),Neisseria meningitidis W135 antigen assay (procedure),122359002,121276004
Antigen assay (procedure),Neisseria meningitidis C antigen assay (procedure),122358005,121276004
Antigen assay (procedure),Neisseria meningitidis B antigen assay (procedure),122357000,121276004
Antigen assay (procedure),Neisseria meningitidis A antigen assay (procedure),122356009,121276004
Antigen assay (procedure),Mumps virus antigen assay (procedure),122355008,121276004
Antigen assay (procedure),Leptospira interrogans antigen assay (procedure),122354007,121276004
Antigen assay (procedure),Legionella pneumophila 1 antigen assay (procedure),122353001,121276004
Antigen assay (procedure),Lassa virus antigen assay (procedure),122352006,121276004
Antigen assay (procedure),Influenza B virus antigen assay (procedure),122350003,121276004
Antigen assay (procedure),Influenza A virus antigen assay (procedure),122349003,121276004
Antigen assay (procedure),Haemophilus influenzae F antigen assay (procedure),122344008,121276004
Antigen assay (procedure),Haemophilus influenzae E antigen assay (procedure),122343002,121276004
Antigen assay (procedure),Haemophilus influenzae D antigen assay (procedure),122342007,121276004
Antigen assay (procedure),Haemophilus influenzae C antigen assay (procedure),122341000,121276004
Antigen assay (procedure),Haemophilus influenzae B antigen assay (procedure),122340004,121276004
Antigen assay (procedure),Haemophilus influenzae A antigen assay (procedure),122338009,121276004
Antigen assay (procedure),Francisella tularensis antigen assay (procedure),122337004,121276004
Antigen assay (procedure),Western equine encephalomyelitis virus antigen assay (procedure),122250001,121276004
Antigen assay (procedure),Varicella virus antigen assay (procedure),122248009,121276004
Antigen assay (procedure),Trichomonas vaginalis antigen assay (procedure),122247004,121276004
Antigen assay (procedure),Rubeola virus antigen assay (procedure),122236006,121276004
Antigen assay (procedure),Rubella virus antigen assay (procedure),122235005,121276004
Antigen assay (procedure),Rickettsia rickettsii antigen assay (procedure),122234009,121276004
Antigen assay (procedure),Rabies virus antigen assay (procedure),122232008,121276004
Antigen assay (procedure),Plasmodium vivax antigen assay (procedure),122230000,121276004
Antigen assay (procedure),Plasmodium falciparum antigen assay (procedure),122229005,121276004
Antigen assay (procedure),Bordetella pertussis antigen assay (procedure),122183004,121276004
Antigen assay (procedure),Bordetella parapertussis antigen assay (procedure),122182009,121276004
Antigen assay (procedure),Blastomyces dermatitidis antigen assay (procedure),122180001,121276004
Antigen assay (procedure),Bacteroides melaninogenicus antigen assay (procedure),122179004,121276004
Antigen assay (procedure),Bacteroides fragilis antigen assay (procedure),122178007,121276004
Antigen assay (procedure),Entamoeba histolytica antigen assay (procedure),122177002,121276004
Antigen assay (procedure),Dengue virus antigen assay (procedure),122176006,121276004
Antigen assay (procedure),Coccidioides immitis antigen assay (procedure),122175005,121276004
Antigen assay (procedure),Chlamydia trachomatis antigen assay (procedure),122173003,121276004
Antigen assay (procedure),Chlamydophila psittaci antigen assay (procedure),122172008,121276004
Antigen assay (procedure),Candida albicans antigen assay (procedure),122171001,121276004
Antigen assay (procedure),Pancreatic oncofetal antigen assay (procedure),122159007,121276004
Antigen assay (procedure),Streptococcus pyogenes antigen assay (procedure),122121004,121276004
Antigen assay (procedure),Streptococcus pneumoniae antigen assay (procedure),122120003,121276004
Antigen assay (procedure),Streptococcus agalactiae antigen assay (procedure),122101000,121276004
Antigen assay (procedure),Saint Louis encephalitis virus antigen assay (procedure),122084007,121276004
Antigen assay (procedure),Rotavirus antigen assay (procedure),122082006,121276004
Antigen assay (procedure),Neisseria meningitidis Y antigen assay (procedure),122058001,121276004
Antigen assay (procedure),Neisseria meningitidis antigen assay (procedure),122055003,121276004
Antigen assay (procedure),Neisseria gonorrhoeae antigen assay (procedure),122053005,121276004
Antigen assay (procedure),Legionella pneumophila antigen assay (procedure),122031008,121276004
Antigen assay (procedure),Aspergillus fumigatus antigen assay (procedure),122001002,121276004
Antigen assay (procedure),Cytomegalovirus antigen assay (procedure),121986009,121276004
Antigen assay (procedure),Cryptosporidium species antigen assay (procedure),121981004,121276004
Antigen assay (procedure),Cryptococcus species antigen assay (procedure),121980003,121276004
Antigen assay (procedure),Cryptococcus neoformans antigen assay (procedure),121979001,121276004
Antigen assay (procedure),Adenovirus antigen assay (procedure),121960004,121276004
Antigen assay (procedure),Chlamydia species antigen assay (procedure),121956002,121276004
Antigen assay (procedure),Chlamydia pneumoniae antigen assay (procedure),121954004,121276004
Antigen assay (procedure),Borrelia burgdorferi antigen assay (procedure),121943009,121276004
Antigen assay (procedure),Histoplasma capsulatum antigen assay (procedure),121915000,121276004
Antigen assay (procedure),Giardia lamblia antigen assay (procedure),121906007,121276004
Antigen assay (procedure),Astrovirus antigen assay (procedure),121905006,121276004
Antigen assay (procedure),Antigen assay (procedure),121276004,121276004
Antigen assay (procedure),"Hemolysin detection, warm (procedure)",120648008,121276004
Antigen assay (procedure),"Hemolysin detection, cold (procedure)",120647003,121276004
Antigen assay (procedure),Parasite antigen assay (procedure),118145007,121276004
Antigen assay (procedure),Microbial antigen assay (procedure),118118006,121276004
Antigen assay (procedure),Clostridium difficile antigen assay (procedure),118114008,121276004
Antigen assay (procedure),"Influenza A virus, Influenza B virus, and Influenza C virus antigen assay (procedure)",118090001,121276004
Antigen assay (procedure),Influenza A virus and Influenza B virus antigen assay (procedure),118089005,121276004
Antigen assay (procedure),Herpes simplex virus 2 antigen assay (procedure),118037000,121276004
Antigen assay (procedure),Herpes simplex virus 1 antigen assay (procedure),118036009,121276004
Antigen assay (procedure),Helicobacter pylori antigen assay (procedure),118034007,121276004
Antigen assay (procedure),Escherichia coli K1 antigen assay (procedure),118031004,121276004
Antigen assay (procedure),Streptococcus pneumoniae group B antigen assay (procedure),118001005,121276004
Antigen assay (procedure),Border disease virus antigen assay (procedure),117974001,121276004
Antigen assay (procedure),Bluetongue virus antigen assay (procedure),117973007,121276004
Antigen assay (procedure),Epizootic hemorrhagic disease virus antigen assay (procedure),117970005,121276004
Antigen assay (procedure),Duck enteritis virus antigen assay (procedure),117967006,121276004
Antigen assay (procedure),Paeniclostridium sordellii antigen assay (procedure),117966002,121276004
Antigen assay (procedure),Clostridium septicum antigen assay (procedure),117965003,121276004
Antigen assay (procedure),Clostridium novyii antigen assay (procedure),117964004,121276004
Antigen assay (procedure),Clostridium chauvoei antigen assay (procedure),117962000,121276004
Antigen assay (procedure),Canarypox virus antigen assay (procedure),117958006,121276004
Antigen assay (procedure),Bovine herpesvirus 4 antigen assay (procedure),117950004,121276004
Antigen assay (procedure),Bovine herpesvirus 1 antigen assay (procedure),117948007,121276004
Antigen assay (procedure),Bovine coronavirus antigen assay (procedure),117945005,121276004
Antigen assay (procedure),Bovine inner ear antigen assay (procedure),117895007,121276004
Antigen assay (procedure),Streptococcus pneumoniae group A antigen assay (procedure),117883007,121276004
Antigen assay (procedure),Sarcocystis neurona antigen assay (procedure),117874002,121276004
Antigen assay (procedure),Avian leukosis virus antigen assay (procedure),117866003,121276004
Antigen assay (procedure),Avian infectious laryngotracheitis virus antigen assay (procedure),117856006,121276004
Antigen assay (procedure),Papillomavirus antigen assay (procedure),117852008,121276004
Antigen assay (procedure),Papillomavirus 6 antigen assay (procedure),117850000,121276004
Antigen assay (procedure),Papillomavirus 51 antigen assay (procedure),117849000,121276004
Antigen assay (procedure),Papillomavirus 5 antigen assay (procedure),117848008,121276004
Antigen assay (procedure),Papillomavirus 45 antigen assay (procedure),117847003,121276004
Antigen assay (procedure),Papillomavirus 44 antigen assay (procedure),117846007,121276004
Antigen assay (procedure),Papillomavirus 43 antigen assay (procedure),117845006,121276004
Antigen assay (procedure),Papillomavirus 42 antigen assay (procedure),117844005,121276004
Antigen assay (procedure),Papillomavirus 33 antigen assay (procedure),117842009,121276004
Antigen assay (procedure),Papillomavirus 35 antigen assay (procedure),117841002,121276004
Antigen assay (procedure),Papillomavirus 31 antigen assay (procedure),117840001,121276004
Antigen assay (procedure),Papillomavirus 18 antigen assay (procedure),117839003,121276004
Antigen assay (procedure),Papillomavirus 16 antigen assay (procedure),117838006,121276004
Antigen assay (procedure),Papillomavirus 11 antigen assay (procedure),117836005,121276004
Antigen assay (procedure),Neisseria meningitidis polyvalent antigen assay (procedure),117835009,121276004
Antigen assay (procedure),Neisseria meningitidis A AND Y antigen assay (procedure),117832007,121276004
Antigen assay (procedure),Mycoplasma species antigen assay (procedure),117828001,121276004
Antigen assay (procedure),Adenovirus 40 AND 41 antigen assay (procedure),117770003,121276004
Antigen assay (procedure),Human immunodeficiency virus 1 p24 antigen assay (procedure),117750009,121276004
Antigen assay (procedure),Human immunodeficiency virus 1 antigen assay (procedure),117747006,121276004
Antigen assay (procedure),Avian adenovirus 2 antigen assay (procedure),117742000,121276004
Antigen assay (procedure),Herpes simplex virus 1 AND 2 antigen assay (procedure),117738003,121276004
Antigen assay (procedure),Giardia lamblia 65 antigen assay (procedure),117734001,121276004
Antigen assay (procedure),Human leukocyte antigen DR AND DQ antigen phenotyping (procedure),117603006,121276004
Antigen assay (procedure),Human leukocyte antigen DR beta antigen phenotyping (procedure),117602001,121276004
Antigen assay (procedure),Human leukocyte antigen DR antigen phenotyping (procedure),117601008,121276004
Antigen assay (procedure),Human leukocyte antigen DQ alpha antigen phenotyping (procedure),117600009,121276004
Antigen assay (procedure),Human leukocyte antigen DQ typing (procedure),117599006,121276004
Antigen assay (procedure),Human leukocyte antigen DP antigen phenotyping (procedure),117598003,121276004
Antigen assay (procedure),Human leukocyte antigen C antigen phenotyping (procedure),117597008,121276004
Antigen assay (procedure),Human leukocyte antigen B antigen phenotyping (procedure),117596004,121276004
Antigen assay (procedure),"Human leukocyte antigen A, B, AND C antigen phenotyping (procedure)",117595000,121276004
Antigen assay (procedure),"Human leukocyte antigen A, B, AND Bw antigen phenotyping (procedure)",117594001,121276004
Antigen assay (procedure),Human leukocyte antigen A AND B antigen phenotyping (procedure),117593007,121276004
Antigen assay (procedure),Human leukocyte antigen A antigen phenotyping (procedure),117592002,121276004
Antigen assay (procedure),Detection of lymphocytes positive for both CD4 antigen and human leukocyte antigen DR (procedure),115406008,121276004
Antigen assay (procedure),Detection of lymphocytes positive for both CD4 antigen and CD45RA antigen (procedure),115404006,121276004
Antigen assay (procedure),Detection of lymphocytes positive for both CD4 antigen and CD29 antigen (procedure),115402005,121276004
Antigen assay (procedure),Detection of lymphocytes positive for both CD4 antigen and CD25 antigen (procedure),115400002,121276004
Antigen assay (procedure),Detection of lymphocytes positive for CD4 antigen (procedure),115398001,121276004
Antigen assay (procedure),Detection of lymphocytes positive for both CD3 antigen and CD4 antigen (procedure),115397006,121276004
Antigen assay (procedure),Cancer antigen 15-3 measurement (procedure),113058009,121276004
Antigen assay (procedure),Homologous restriction factor measurement (procedure),104372006,121276004
Antigen assay (procedure),Complement C3d-C3d+GG-IC3b receptors measurement (procedure),104371004,121276004
Antigen assay (procedure),Complement C3b-C4b receptor measurement (procedure),104370003,121276004
Antigen assay (procedure),Complement decay accelerating factor measurement (procedure),104368007,121276004
Antigen assay (procedure),Complement membrane C3b-C4b cofactor protein measurement (procedure),104347006,121276004
Antigen assay (procedure),"Complement component, antigen measurement (procedure)",104336004,121276004
Antigen assay (procedure),Human immunodeficiency virus p24 antigen test (procedure),104332002,121276004
Antigen assay (procedure),Microbial antigen assay by immunodiffusion method (procedure),104259007,121276004
Antigen assay (procedure),Microbial antigen assay by immunoassay method (procedure),104258004,121276004
Antigen assay (procedure),Microbial antigen assay by enzyme immunoassay method (procedure),104257009,121276004
Antigen assay (procedure),Microbial antigen assay by latex agglutination method (procedure),104256000,121276004
Antigen assay (procedure),Microbial antigen assay by immunofluorescence method (procedure),104255001,121276004
Antigen assay (procedure),Microbial antigen assay by radioimmunoassay method (procedure),104254002,121276004
Antigen assay (procedure),"Immunomeasurement for infectious agent antigen, multiple step method, qualitative or semi-quantitative (procedure)",104251005,121276004
Antigen assay (procedure),"Immunomeasurement for infectious agent antigen, single step method, qualitative or semi-quantitative (procedure)",104250006,121276004
Antigen assay (procedure),Le^b^ blood group antibody identification (procedure),104012005,121276004
Antigen assay (procedure),Le^a^ blood group antibody identification (procedure),104011003,121276004
Antigen assay (procedure),Identification of antibody to red blood cell antigens from Lewis system (International Society of Blood Transfusion 007) (procedure),104010002,121276004
Antigen assay (procedure),Au^a^ blood group antibody identification (procedure),104002003,121276004
Antigen assay (procedure),Lu3 (Lu^ab^) blood group antibody identification (procedure),104001005,121276004
Antigen assay (procedure),Lu^b^ blood group antibody identification (procedure),104000006,121276004
Antigen assay (procedure),Lu^a^ blood group antibody identification (procedure),103999009,121276004
Antigen assay (procedure),Identification of antibody to red blood cell antigens from Lutheran system (International Society of Blood Transfusion 005) (procedure),103998001,121276004
Antigen assay (procedure),Hepatitis B core antigen measurement (procedure),90185007,121276004
Antigen assay (procedure),CA 125 measurement (procedure),80529009,121276004
Antigen assay (procedure),Myeloid antigen detection (procedure),79690009,121276004
Antigen assay (procedure),Isoelectric focusing measurement (procedure),69571005,121276004
Antigen assay (procedure),Nonlineage cell antigen detection (procedure),63908003,121276004
Antigen assay (procedure),CR type 2 receptor measurement (procedure),61792005,121276004
Antigen assay (procedure),"Hemolysin detection, ABO (procedure)",61431004,121276004
Antigen assay (procedure),Hepatitis E antigen measurement (procedure),60992009,121276004
Antigen assay (procedure),Hepatitis C antigen measurement (procedure),58589004,121276004
Antigen assay (procedure),Hemolysin detection (procedure),52391000,121276004
Antigen assay (procedure),Immunoassay for detection of antigen to infectious agent (procedure),49161005,121276004
Antigen assay (procedure),B-cell antigen detection (procedure),48166009,121276004
Antigen assay (procedure),Hepatitis B surface antigen measurement (procedure),47758006,121276004
Antigen assay (procedure),Hepatitis D antigen measurement (procedure),47644001,121276004
Antigen assay (procedure),"Fluorescent antigen, screen (procedure)",45151005,121276004
Antigen assay (procedure),Cancer antigen 19-9 measurement (procedure),40939009,121276004
Antigen assay (procedure),Antigen to cardiac tissue measurement (procedure),40824007,121276004
Antigen assay (procedure),Breast tumor mucin measurement (procedure),40495008,121276004
Antigen assay (procedure),Complement receptor type 4 receptor measurement (procedure),40213004,121276004
Antigen assay (procedure),Helper T-cell antigen measurement (procedure),38935004,121276004
Antigen assay (procedure),Antibody to CA-125 measurement (procedure),37886006,121276004
Antigen assay (procedure),Natural killer cell antigen detection (procedure),37694002,121276004
Antigen assay (procedure),Soluble CD8 T-cell antigen assay (procedure),34185001,121276004
Antigen assay (procedure),Human immunodeficiency virus-2 antigen assay (procedure),32545003,121276004
Antigen assay (procedure),Human immunodeficiency virus antigen test (procedure),31676001,121276004
Antigen assay (procedure),"Hemolysin detection, cold, quantitative (procedure)",13374006,121276004
Antigen assay (procedure),Identification of rotavirus antigen in feces (procedure),4691008,121276004
Antigen assay (procedure),"Lymphocytes, T & B cell evaluation (procedure)",3450007,121276004
Antigen assay (procedure),Tumor antigen measurement (procedure),893000,121276004
Asthma follow-up (regime/therapy),Asthma follow-up (regime/therapy),394701000,394701000
Asthma management (regime/therapy),Asthma self management (regime/therapy),699728000,406162001
Asthma management (regime/therapy),Asthma management (regime/therapy),406162001,406162001
Attribute (attribute),Unit of presentation size unit (attribute),320091000221107,246061005
Attribute (attribute),Unit of presentation size quantity (attribute),320081000221109,246061005
Attribute (attribute),Process acts on (attribute),1003735000,246061005
Attribute (attribute),Process extends to (attribute),1003703000,246061005
Attribute (attribute),Has product characteristic (attribute),860781008,246061005
Attribute (attribute),Has ingredient characteristic (attribute),860779006,246061005
Attribute (attribute),Has device characteristic (attribute),840562008,246061005
Attribute (attribute),Has compositional material (attribute),840560000,246061005
Attribute (attribute),Has device intended site (attribute),836358009,246061005
Attribute (attribute),Has filling (attribute),827081001,246061005
Attribute (attribute),Count of clinical drug type (attribute),784276002,246061005
Attribute (attribute),Has pack size unit (attribute),774163005,246061005
Attribute (attribute),Has pack size (attribute),774161007,246061005
Attribute (attribute),Contains clinical drug (attribute),774160008,246061005
Attribute (attribute),Has supplier (attribute),774159003,246061005
Attribute (attribute),Has product name (attribute),774158006,246061005
Attribute (attribute),Proper part of (attribute),774081006,246061005
Attribute (attribute),Count of base and modification pair (attribute),766954007,246061005
Attribute (attribute),Count of active ingredient (attribute),766953001,246061005
Attribute (attribute),Count of base of active ingredient (attribute),766952006,246061005
Attribute (attribute),Plays role (attribute),766939001,246061005
Attribute (attribute),Has unit of presentation (attribute),763032000,246061005
Attribute (attribute),Has ingredient (attribute),762951001,246061005
Attribute (attribute),Has precise active ingredient (attribute),762949000,246061005
Attribute (attribute),Concept model data attribute (attribute),762706009,246061005
Attribute (attribute),Concept model object attribute (attribute),762705008,246061005
Attribute (attribute),Is modification of (attribute),738774007,246061005
Attribute (attribute),Has state of matter (attribute),736518005,246061005
Attribute (attribute),Has basic dose form (attribute),736476002,246061005
Attribute (attribute),Has dose form release characteristic (attribute),736475003,246061005
Attribute (attribute),Has dose form intended site (attribute),736474004,246061005
Attribute (attribute),Has dose form transformation (attribute),736473005,246061005
Attribute (attribute),Has dose form administration method (attribute),736472000,246061005
Attribute (attribute),Tributary of (attribute),734137005,246061005
Attribute (attribute),Contained in (attribute),734136001,246061005
Attribute (attribute),Lateral half of (attribute),733933004,246061005
Attribute (attribute),Systemic part of (attribute),733932009,246061005
Attribute (attribute),Constitutional part of (attribute),733931002,246061005
Attribute (attribute),Regional part of (attribute),733930001,246061005
Attribute (attribute),All or part of (attribute),733928003,246061005
Attribute (attribute),Has concentration strength numerator unit (attribute),733725009,246061005
Attribute (attribute),Has concentration strength numerator value (attribute),733724008,246061005
Attribute (attribute),Has concentration strength denominator value (attribute),733723002,246061005
Attribute (attribute),Has concentration strength denominator unit (attribute),733722007,246061005
Attribute (attribute),Has presentation strength denominator unit (attribute),732947008,246061005
Attribute (attribute),Has presentation strength denominator value (attribute),732946004,246061005
Attribute (attribute),Has presentation strength numerator unit (attribute),732945000,246061005
Attribute (attribute),Has presentation strength numerator value (attribute),732944001,246061005
Attribute (attribute),Has basis of strength substance (attribute),732943007,246061005
Attribute (attribute),Temporally related to (attribute),726633004,246061005
Attribute (attribute),Has disposition (attribute),726542003,246061005
Attribute (attribute),Has realization (attribute),719722006,246061005
Attribute (attribute),Relative to part of (attribute),719715003,246061005
Attribute (attribute),Inherent location (attribute),718497002,246061005
Attribute (attribute),Is about (attribute),704647008,246061005
Attribute (attribute),Observes (attribute),704347000,246061005
Attribute (attribute),Specified by (attribute),704346009,246061005
Attribute (attribute),Direct site (attribute),704327008,246061005
Attribute (attribute),Precondition (attribute),704326004,246061005
Attribute (attribute),Relative to (attribute),704325000,246061005
Attribute (attribute),Process output (attribute),704324001,246061005
Attribute (attribute),Process duration (attribute),704323007,246061005
Attribute (attribute),Process agent (attribute),704322002,246061005
Attribute (attribute),Characterizes (attribute),704321009,246061005
Attribute (attribute),Towards (attribute),704320005,246061005
Attribute (attribute),Inheres in (attribute),704319004,246061005
Attribute (attribute),Role group (attribute),609096000,246061005
Attribute (attribute),Using access device (attribute),425391005,246061005
Attribute (attribute),Surgical approach (attribute),424876005,246061005
Attribute (attribute),Method access (attribute),424697009,246061005
Attribute (attribute),Impact-resistant lens (attribute),424528004,246061005
Attribute (attribute),Using substance (attribute),424361007,246061005
Attribute (attribute),Plastic lens (attribute),424337000,246061005
Attribute (attribute),Using energy (attribute),424244007,246061005
Attribute (attribute),Using device (attribute),424226004,246061005
Attribute (attribute),Polycarbonate lens (attribute),422809003,246061005
Attribute (attribute),High-index glass lens (attribute),422702001,246061005
Attribute (attribute),Finding informer (attribute),419066007,246061005
Attribute (attribute),Finding method (attribute),418775008,246061005
Attribute (attribute),Method of localization of body structure (attribute),414680002,246061005
Attribute (attribute),Method of action (attribute),414679000,246061005
Attribute (attribute),Has strength (attribute),411117005,246061005
Attribute (attribute),Has manufactured dose form (attribute),411116001,246061005
Attribute (attribute),Number (attribute),410680006,246061005
Attribute (attribute),Surface (attribute),410678000,246061005
Attribute (attribute),Spread (attribute),410677005,246061005
Attribute (attribute),Route of administration (attribute),410675002,246061005
Attribute (attribute),Region (attribute),410673009,246061005
Attribute (attribute),Date (attribute),410671006,246061005
Attribute (attribute),Time (attribute),410670007,246061005
Attribute (attribute),Length (attribute),410667008,246061005
Attribute (attribute),Reason for (attribute),410666004,246061005
Attribute (attribute),Indication for (attribute),410665000,246061005
Attribute (attribute),Concept history attribute (attribute),410663007,246061005
Attribute (attribute),Concept model attribute (attribute),410662002,246061005
Attribute (attribute),Aggravated by (attribute),410660005,246061005
Attribute (attribute),Provoked by (attribute),410658008,246061005
Attribute (attribute),Type (attribute),410657003,246061005
Attribute (attribute),Stinging insect (attribute),410654005,246061005
Attribute (attribute),Organism (attribute),410653004,246061005
Attribute (attribute),Application (attribute),410618006,246061005
Attribute (attribute),Adjustment (attribute),410616005,246061005
Attribute (attribute),Construction (attribute),410615009,246061005
Attribute (attribute),Part of tooth (attribute),410612007,246061005
Attribute (attribute),Recipient site (attribute),410610004,246061005
Attribute (attribute),Donor site (attribute),410608001,246061005
Attribute (attribute),Unapproved attribute (attribute),408739003,246061005
Attribute (attribute),Subject relationship context (attribute),408732007,246061005
Attribute (attribute),Temporal context (attribute),408731000,246061005
Attribute (attribute),Procedure context (attribute),408730004,246061005
Attribute (attribute),Finding context (attribute),408729009,246061005
Attribute (attribute),Reason for visit diagnosis (attribute),406524005,246061005
Attribute (attribute),Type of fluid (attribute),406142009,246061005
Attribute (attribute),Procedure morphology (attribute),405816004,246061005
Attribute (attribute),Procedure device (attribute),405815000,246061005
Attribute (attribute),Procedure site - Indirect (attribute),405814001,246061005
Attribute (attribute),Procedure site - Direct (attribute),405813007,246061005
Attribute (attribute),Method of patient identification (attribute),405683004,246061005
Attribute (attribute),Information from images (attribute),405671001,246061005
Attribute (attribute),Required property (attribute),405662005,246061005
Attribute (attribute),Incongruous (attribute),404652005,246061005
Attribute (attribute),Congruous (attribute),404651003,246061005
Attribute (attribute),Intravascular line site (attribute),398297002,246061005
Attribute (attribute),Method of identification (attribute),398282000,246061005
Attribute (attribute),In transit (attribute),398101002,246061005
Attribute (attribute),Obtained (attribute),398092000,246061005
Attribute (attribute),Depth of epidural space (attribute),398039007,246061005
Attribute (attribute),Method of regional block drug administration (attribute),398009002,246061005
Attribute (attribute),Type of line (attribute),398008005,246061005
Attribute (attribute),Measurement site (attribute),397987002,246061005
Attribute (attribute),Patient source (attribute),397764000,246061005
Attribute (attribute),Subdivision of (attribute),394853000,246061005
Attribute (attribute),Member of (attribute),394852005,246061005
Attribute (attribute),Responsible to (attribute),394851003,246061005
Attribute (attribute),Used by (attribute),394850002,246061005
Attribute (attribute),Agent relationship (attribute),394736001,246061005
Attribute (attribute),Outcome of action (attribute),385676005,246061005
Attribute (attribute),Reason for action (attribute),385675009,246061005
Attribute (attribute),Success of action (attribute),385668008,246061005
Attribute (attribute),Ease of action (attribute),385665006,246061005
Attribute (attribute),Action status (attribute),385641008,246061005
Attribute (attribute),Source of information (attribute),385438008,246061005
Attribute (attribute),MOVED FROM (attribute),384598002,246061005
Attribute (attribute),Device used (attribute),371882005,246061005
Attribute (attribute),During (attribute),371881003,246061005
Attribute (attribute),Pathological process (attribute),370135005,246061005
Attribute (attribute),Time aspect (attribute),370134009,246061005
Attribute (attribute),Specimen substance (attribute),370133003,246061005
Attribute (attribute),Scale type (attribute),370132008,246061005
Attribute (attribute),Recipient category (attribute),370131001,246061005
Attribute (attribute),Property (attribute),370130000,246061005
Attribute (attribute),Measurement method (attribute),370129005,246061005
Attribute (attribute),Has proprietary name (attribute),370128002,246061005
Attribute (attribute),MOVED TO (attribute),370125004,246061005
Attribute (attribute),REPLACED BY (attribute),370124000,246061005
Attribute (attribute),Intention - attribute (attribute),367565008,246061005
Attribute (attribute),Followed by (attribute),367409002,246061005
Attribute (attribute),Measures (attribute),367346004,246061005
Attribute (attribute),Sudden onset (attribute),367327000,246061005
Attribute (attribute),Insidious onset (attribute),367326009,246061005
Attribute (attribute),Subacute onset (attribute),367324007,246061005
Attribute (attribute),Associated etiologic finding (attribute),363715002,246061005
Attribute (attribute),Interprets (attribute),363714003,246061005
Attribute (attribute),Has interpretation (attribute),363713009,246061005
Attribute (attribute),Structural embryological defect (attribute),363712004,246061005
Attribute (attribute),Associated subcellular entity (attribute),363711006,246061005
Attribute (attribute),Indirect device (attribute),363710007,246061005
Attribute (attribute),Indirect morphology (attribute),363709002,246061005
Attribute (attribute),Temporally follows (attribute),363708005,246061005
Attribute (attribute),Has subject of information (attribute),363707000,246061005
Attribute (attribute),Has recipient category (attribute),363706009,246061005
Attribute (attribute),Has definitional manifestation (attribute),363705008,246061005
Attribute (attribute),Procedure site (attribute),363704007,246061005
Attribute (attribute),Has intent (attribute),363703001,246061005
Attribute (attribute),Has focus (attribute),363702006,246061005
Attribute (attribute),Direct substance (attribute),363701004,246061005
Attribute (attribute),Direct morphology (attribute),363700003,246061005
Attribute (attribute),Direct device (attribute),363699004,246061005
Attribute (attribute),Finding site (attribute),363698007,246061005
Attribute (attribute),Associated procedure (attribute),363589002,246061005
Attribute (attribute),Serum tumor marker status (attribute),313136007,246061005
Attribute (attribute),Component fixation (attribute),313067007,246061005
Attribute (attribute),Proximal component fixation (attribute),313044005,246061005
Attribute (attribute),Site of access (attribute),311788003,246061005
Attribute (attribute),Instrumentation (attribute),309824003,246061005
Attribute (attribute),Tooth or teeth overlaid (attribute),306987005,246061005
Attribute (attribute),Phage type variant (attribute),303221006,246061005
Attribute (attribute),Shape (attribute),300842002,246061005
Attribute (attribute),Edge of lesion (attribute),300819009,246061005
Attribute (attribute),Pulsatility (attribute),300596007,246061005
Attribute (attribute),Resonance (attribute),300594005,246061005
Attribute (attribute),Mobility of lesion (attribute),300592009,246061005
Attribute (attribute),Lesion attributes (attribute),300591002,246061005
Attribute (attribute),Type of language (attribute),297939008,246061005
Attribute (attribute),Staging of procedure (attribute),297203006,246061005
Attribute (attribute),Reason and justification (attribute),288830005,246061005
Attribute (attribute),Finding status (attribute),288829000,246061005
Attribute (attribute),Before (attribute),288556008,246061005
