snomedConcept,snomedIdentifier,descendantId,descendantConcept,propagation,coverage
Lymphedema (disorder),234097001,77123007,Lymphedema praecox (disorder),23,23
Lymphedema (disorder),234097001,28590005,Chronic acquired lymphedema (disorder),23,23
Gastroparesis (disorder),235675006,713704004,Gastroparesis due to diabetes mellitus (disorder),4,4
Gastroparesis (disorder),235675006,235676007,Postprocedural delayed gastric emptying (disorder),4,4
Gastroparesis (disorder),235675006,235675006,Gastroparesis (disorder),4,4
Gastroparesis (disorder),235675006,75994008,Nondiabetic gastroparesis (disorder),4,4
Adrenal Cushing's syndrome (disorder),237735008,237735008,Adrenal Cushing's syndrome (disorder),2,2
Adrenal Cushing's syndrome (disorder),237735008,79398006,Hypercortisolism due to adrenal neoplasm (disorder),2,2
Vulvodynia (disorder),238968009,238968009,Vulvodynia (disorder),2,2
Vulvodynia (disorder),238968009,33563008,Essential vulvodynia (disorder),2,2
Glaucoma (disorder),23986001,719976001,Glaucoma and sleep apnea syndrome (disorder),19,19
Glaucoma (disorder),23986001,392291006,Angle-closure glaucoma (disorder),19,19
Glaucoma (disorder),23986001,314017009,Acute-on-chronic glaucoma (disorder),19,19
Glaucoma (disorder),23986001,232087009,Glaucoma with intraocular hemorrhage (disorder),19,19
Glaucoma (disorder),23986001,232081005,Iatrogenic glaucoma (disorder),19,19
Glaucoma (disorder),23986001,204113001,Congenital glaucoma (disorder),19,19
Glaucoma (disorder),23986001,95717004,Secondary glaucoma (disorder),19,19
Glaucoma (disorder),23986001,92829008,Glaucoma due to combination of mechanisms (disorder),19,19
Glaucoma (disorder),23986001,84494001,Open-angle glaucoma (disorder),19,19
Glaucoma (disorder),23986001,71111008,Glaucoma of childhood (disorder),19,19
Glaucoma (disorder),23986001,66747002,Glaucoma associated with ocular disorder (disorder),19,19
Glaucoma (disorder),23986001,53667005,Glaucoma associated with systemic syndromes (disorder),19,19
Glaucoma (disorder),23986001,50485007,Low tension glaucoma (disorder),19,19
Glaucoma (disorder),23986001,33647009,Anatomical narrow angle glaucoma (disorder),19,19
Glaucoma (disorder),23986001,29369005,Hypersecretion glaucoma (disorder),19,19
Glaucoma (disorder),23986001,27735002,Glaucoma associated with tumors AND/OR cysts (disorder),19,19
Glaucoma (disorder),23986001,23986001,Glaucoma (disorder),19,19
Glaucoma (disorder),23986001,19144002,Absolute glaucoma (disorder),19,19
Glaucoma (disorder),23986001,1207009,Glaucomatous atrophy of optic disc (disorder),19,19
Impingement syndrome of shoulder region (disorder),239960007,1076511000119107,Subcoracoid impingement of right shoulder region (disorder),7,7
Impingement syndrome of shoulder region (disorder),239960007,1075481000119105,Internal impingement of left shoulder (disorder),7,7
Impingement syndrome of shoulder region (disorder),239960007,1075471000119107,Internal impingement of right shoulder (disorder),7,7
Impingement syndrome of shoulder region (disorder),239960007,239960007,Impingement syndrome of shoulder region (disorder),7,7
Impingement syndrome of shoulder region (disorder),239960007,202850001,Coracoid impingement (disorder),7,7
Impingement syndrome of shoulder region (disorder),239960007,202849001,Subacromial impingement (disorder),7,7
Impingement syndrome of shoulder region (disorder),239960007,202337006,Snapping shoulder (disorder),7,7
Lazy eye (finding),246623008,246623008,Lazy eye (finding),1,1
Verbal auditory hallucinations (finding),247730001,277533007,Third person verbal auditory hallucinations (finding),4,4
Verbal auditory hallucinations (finding),247730001,277529000,Second person verbal auditory hallucinations (finding),4,4
Verbal auditory hallucinations (finding),247730001,247730001,Verbal auditory hallucinations (finding),4,4
Verbal auditory hallucinations (finding),247730001,247644004,Thought echo (finding),4,4
Seasonal affective disorder (disorder),247803002,133121000119109,Severe seasonal affective disorder (disorder),2,2
Seasonal affective disorder (disorder),247803002,247803002,Seasonal affective disorder (disorder),2,2
Fatty dimpling of skin (finding),248306003,248306003,Fatty dimpling of skin (finding),1,1
Headache (finding),25064002,294091000119104,Headache caused by drug (finding),37,37
Headache (finding),25064002,735938006,Acute headache (finding),37,37
Headache (finding),25064002,725058003,Short-lasting unilateral neuralgiform headache attacks with conjunctival injection and tearing syndrome (disorder),37,37
Headache (finding),25064002,712831003,Frequent headache (finding),37,37
Headache (finding),25064002,712826000,Intermittent headache (finding),37,37
Headache (finding),25064002,703182002,Headache due to reversible cerebral vasoconstriction syndrome (finding),37,37
Headache (finding),25064002,698803006,Medication overuse headache (finding),37,37
Headache (finding),25064002,445511002,Orthostatic headache (finding),37,37
Headache (finding),25064002,364760007,Finding of headache character (finding),37,37
Headache (finding),25064002,279016001,Cervicogenic headache (finding),37,37
Headache (finding),25064002,267096005,Frontal headache (finding),37,37
Headache (finding),25064002,230483008,Headache associated with substance abuse or withdrawal (finding),37,37
Headache (finding),25064002,169464001,Headache caused by oral contraceptive pill (finding),37,37
Headache (finding),25064002,162311003,Heavy head (finding),37,37
Headache (finding),25064002,162310002,Morning headache (finding),37,37
Headache (finding),25064002,162304002,Parietal headache (finding),37,37
Headache (finding),25064002,162301005,Bilateral headache (finding),37,37
Headache (finding),25064002,162300006,Unilateral headache (finding),37,37
Headache (finding),25064002,162299003,Generalized headache (finding),37,37
Headache (finding),25064002,162211001,Viral headache (finding),37,37
Headache (finding),25064002,129610005,Headache due to intracranial disease (finding),37,37
Headache (finding),25064002,112101004,Dental headache (finding),37,37
Headache (finding),25064002,103011009,Benign exertional headache (finding),37,37
Headache (finding),25064002,103010005,Headache associated with sexual activity (finding),37,37
Headache (finding),25064002,103009000,Headache due to cold exposure (finding),37,37
Headache (finding),25064002,103008008,Postpartum headache (finding),37,37
Headache (finding),25064002,103007003,Headache due to external compression of head (finding),37,37
Headache (finding),25064002,95658004,Cough headache syndrome (finding),37,37
Headache (finding),25064002,86925001,Ocular headache (finding),37,37
Headache (finding),25064002,54012000,Posttraumatic headache (finding),37,37
Headache (finding),25064002,44538002,Nasal headache (finding),37,37
Headache (finding),25064002,41413006,Temporal headache (finding),37,37
Headache (finding),25064002,38823002,Aural headache (finding),37,37
Headache (finding),25064002,25064002,Headache (finding),37,37
Headache (finding),25064002,13322008,Postseizure headache (finding),37,37
Headache (finding),25064002,4969004,Sinus headache (finding),37,37
Headache (finding),25064002,330007,Occipital headache (finding),37,37
Social phobia (disorder),25501002,191726007,"Social phobia, fear of public washing (disorder)",5,5
Social phobia (disorder),25501002,191725006,"Social phobia, fear of public speaking (disorder)",5,5
Social phobia (disorder),25501002,191724005,"Social phobia, fear of eating in public (disorder)",5,5
Social phobia (disorder),25501002,62351001,Generalized social phobia (disorder),5,5
Social phobia (disorder),25501002,25501002,Social phobia (disorder),5,5
Neuroendocrine tumor (disorder),255046005,785824001,Neuroendocrine neoplasm of gallbladder (disorder),8,8
Neuroendocrine tumor (disorder),255046005,721193002,Neuroendocrine neoplasm of gastrointestinal tract (disorder),8,8
Neuroendocrine tumor (disorder),255046005,717919005,Neuroendocrine tumor of pancreas (disorder),8,8
Neuroendocrine tumor (disorder),255046005,717918002,Neuroendocrine tumor of middle ear (disorder),8,8
Neuroendocrine tumor (disorder),255046005,707625001,Neuroendocrine neoplasm of larynx (disorder),8,8
Neuroendocrine tumor (disorder),255046005,707594002,Neuroendocrine neoplasm of lung (disorder),8,8
Neuroendocrine tumor (disorder),255046005,255046005,Neuroendocrine tumor (disorder),8,8
Neuroendocrine tumor (disorder),255046005,253006001,Somatostatinoma (disorder),8,8
Dysmenorrhea (disorder),266599000,286993001,Dysmenorrhea - non-psychogenic (disorder),5,5
Dysmenorrhea (disorder),266599000,266599000,Dysmenorrhea (disorder),5,5
Dysmenorrhea (disorder),266599000,65754002,Primary dysmenorrhea (disorder),5,5
Dysmenorrhea (disorder),266599000,32096006,Secondary dysmenorrhea (disorder),5,5
Dysmenorrhea (disorder),266599000,5268006,Mechanical dysmenorrhea (disorder),5,5
Edema (finding),267038008,870733000,Edema of vocal cord (finding),21,21
Edema (finding),267038008,865918002,Edema of esophagus (finding),21,21
Edema (finding),267038008,830139001,Edema of abdomen (finding),21,21
Edema (finding),267038008,788914007,Edema due to infection (finding),21,21
Edema (finding),267038008,699107000,Static edema level (finding),21,21
Edema (finding),267038008,699105008,Fluctuating edema level (finding),21,21
Edema (finding),267038008,445088006,Edema of face (finding),21,21
Edema (finding),267038008,444848005,Edema of back (finding),21,21
Edema (finding),267038008,443168008,Edema of fetal scalp (finding),21,21
Edema (finding),267038008,443164005,Edema of chest wall (finding),21,21
Edema (finding),267038008,424372002,Edema of extremity (finding),21,21
Edema (finding),267038008,300522004,Edema of prepuce (finding),21,21
Edema (finding),267038008,290077003,Edema of breast (finding),21,21
Edema (finding),267038008,289509002,Edema of clitoris (finding),21,21
Edema (finding),267038008,277170006,Edema of ear canal (finding),21,21
Edema (finding),267038008,271808008,"Edema, generalized (finding)",21,21
Edema (finding),267038008,267038008,Edema (finding),21,21
Edema (finding),267038008,118654009,Disorder characterized by edema (disorder),21,21
Edema (finding),267038008,95353000,Mucous membrane edema (finding),21,21
Edema (finding),267038008,70346000,Gingival edema (finding),21,21
Edema (finding),267038008,5248000,Supraglottic edema (finding),21,21
Gilbert's syndrome (disorder),27503000,27503000,Gilbert's syndrome (disorder),1,1
Scar (disorder),275322007,735563002,Cicatrix of middle ear (disorder),27,27
Scar (disorder),275322007,713356005,Chronic esophageal scar (disorder),27,27
Scar (disorder),275322007,449772006,Scar of periapical tissue of tooth (disorder),27,27
Scar (disorder),275322007,447246008,Contracture scar (disorder),27,27
Scar (disorder),275322007,447071003,Scar of face (disorder),27,27
Scar (disorder),275322007,447054004,Patellar clunk syndrome (disorder),27,27
Scar (disorder),275322007,416236009,Fat adherence syndrome of extraocular muscle (disorder),27,27
Scar (disorder),275322007,402169007,Scarring due to treatment (disorder),27,27
Scar (disorder),275322007,302928000,Scarring of vulva (disorder),27,27
Scar (disorder),275322007,302926001,Cicatrix of cervix (disorder),27,27
Scar (disorder),275322007,297191009,Scarring of stoma (disorder),27,27
Scar (disorder),275322007,277211006,Postauricular scar (disorder),27,27
Scar (disorder),275322007,275322007,Scar (disorder),27,27
Scar (disorder),275322007,274178007,Scarring after injury (disorder),27,27
Scar (disorder),275322007,247238009,Aural scar (disorder),27,27
Scar (disorder),275322007,196764005,Duodenal scar (disorder),27,27
Scar (disorder),275322007,109607008,Scar at apex of tooth (disorder),27,27
Scar (disorder),275322007,95726001,Corneal scar (disorder),27,27
Scar (disorder),275322007,90607003,Conjunctival scar (disorder),27,27
Scar (disorder),275322007,70582006,Scar of skin (disorder),27,27
Scar (disorder),275322007,67529001,Cicatrix of tonsil (disorder),27,27
Scar (disorder),275322007,53854005,Chorioretinal scar (disorder),27,27
Scar (disorder),275322007,43636000,Cicatrix of trachea (disorder),27,27
Scar (disorder),275322007,31821006,Uterine scar from previous surgery affecting pregnancy (disorder),27,27
Scar (disorder),275322007,27007008,Scarring of papillary muscle (disorder),27,27
Scar (disorder),275322007,10713006,Diffuse interstitial rheumatoid disease of lung (disorder),27,27
Scar (disorder),275322007,5791006,Cicatrix of adenoid (disorder),27,27
Menopause finding (finding),276477006,161541000119104,Perimenopausal state (finding),10,10
Menopause finding (finding),276477006,373717006,Premature menopause (finding),10,10
Menopause finding (finding),276477006,289904000,Menopause absent (finding),10,10
Menopause finding (finding),276477006,289903006,Menopause present (finding),10,10
Menopause finding (finding),276477006,276477006,Menopause finding (finding),10,10
Menopause finding (finding),276477006,237123000,Normal menopause (finding),10,10
Menopause finding (finding),276477006,76498008,Postmenopausal state (finding),10,10
Menopause finding (finding),276477006,68811000,Menopausal problem (finding),10,10
Menopause finding (finding),276477006,21801002,Menopausal symptom (finding),10,10
Menopause finding (finding),276477006,20045006,Delayed menopause (finding),10,10
Soiling (finding),276484003,142241000119104,Fecal soiling co-occurrent and due to fecal incontinence (finding),3,3
Soiling (finding),276484003,276484003,Soiling (finding),3,3
Soiling (finding),276484003,275300000,Soiling symptom (finding),3,3
Delirium (disorder),2776000,16236701000119107,Delirium due to drug withdrawal (disorder),22,22
Delirium (disorder),2776000,16236661000119100,Delirium due to methamphetamine intoxication (disorder),22,22
Delirium (disorder),2776000,771418002,Delirium following surgical procedure (disorder),22,22
Delirium (disorder),2776000,725898002,Delirium co-occurrent with dementia (disorder),22,22
Delirium (disorder),2776000,724746000,Delirium due to multiple etiological factors (disorder),22,22
Delirium (disorder),2776000,722961009,Delirium caused by substance or medication (disorder),22,22
Delirium (disorder),2776000,698958008,Delirium in remission (disorder),22,22
Delirium (disorder),2776000,280994000,Chronic confusional state (disorder),22,22
Delirium (disorder),2776000,231450007,Psychosis associated with intensive care (disorder),22,22
Delirium (disorder),2776000,231440006,Delirium of mixed origin (disorder),22,22
Delirium (disorder),2776000,231439009,Toxic confusional state (disorder),22,22
Delirium (disorder),2776000,191507002,Subacute delirium (disorder),22,22
Delirium (disorder),2776000,191505005,"Acute confusional state, of cerebrovascular origin (disorder)",22,22
Delirium (disorder),2776000,191504009,"Acute confusional state, of metabolic origin (disorder)",22,22
Delirium (disorder),2776000,191503003,"Acute confusional state, of endocrine origin (disorder)",22,22
Delirium (disorder),2776000,191502008,"Acute confusional state, of infective origin (disorder)",22,22
Delirium (disorder),2776000,191501001,"Acute confusional state, post-traumatic (disorder)",22,22
Delirium (disorder),2776000,191492000,Drug-induced delirium (disorder),22,22
Delirium (disorder),2776000,85821003,Acute non-psychotic brain syndrome (disorder),22,22
Delirium (disorder),2776000,49481000,Postseizure delirium (disorder),22,22
Delirium (disorder),2776000,10349009,Multi-infarct dementia with delirium (disorder),22,22
Delirium (disorder),2776000,2776000,Delirium (disorder),22,22
Autonomic neuropathy (disorder),277879009,860883001,Generalized autonomic neuropathy due to diabetes mellitus (disorder),25,25
Autonomic neuropathy (disorder),277879009,860807003,Hereditary autonomic neuropathy (disorder),25,25
Autonomic neuropathy (disorder),277879009,838348004,Autonomic neuropathy due to Tangier disease (disorder),25,25
Autonomic neuropathy (disorder),277879009,838347009,Autonomic neuropathy due to Refsum Disease (disorder),25,25
Autonomic neuropathy (disorder),277879009,838330008,Autoimmune ganglionopathy (disorder),25,25
Autonomic neuropathy (disorder),277879009,838322007,Autonomic neuropathy due to Allgrove syndrome (disorder),25,25
Autonomic neuropathy (disorder),277879009,838321000,Autonomic ganglionopathy (disorder),25,25
Autonomic neuropathy (disorder),277879009,838320004,Autonomic neuropathy due to medication induced hypoglycemia (disorder),25,25
Autonomic neuropathy (disorder),277879009,838319005,Autonomic neuropathy due to Fabry disease (disorder),25,25
Autonomic neuropathy (disorder),277879009,783737007,"Hirschsprung disease, ganglioneuroblastoma syndrome (disorder)",25,25
Autonomic neuropathy (disorder),277879009,737241008,Autonomic neuropathy due to metabolic disease (disorder),25,25
Autonomic neuropathy (disorder),277879009,737240009,Autonomic neuropathy due to endocrine disease (disorder),25,25
Autonomic neuropathy (disorder),277879009,724815006,Autonomic neuropathy due to disorder of immune function (disorder),25,25
Autonomic neuropathy (disorder),277879009,699190008,Paroxysmal extreme pain disorder (disorder),25,25
Autonomic neuropathy (disorder),277879009,409661008,Benign neoplasm of autonomic nerve (disorder),25,25
Autonomic neuropathy (disorder),277879009,282746001,Autonomic nerve injury (disorder),25,25
Autonomic neuropathy (disorder),277879009,277879009,Autonomic neuropathy (disorder),25,25
Autonomic neuropathy (disorder),277879009,230667002,Chronic idiopathic anhidrosis (disorder),25,25
Autonomic neuropathy (disorder),277879009,230666006,Paraneoplastic autonomic dysfunction (disorder),25,25
Autonomic neuropathy (disorder),277879009,230665005,Drug-induced autonomic dysfunction (disorder),25,25
Autonomic neuropathy (disorder),277879009,230659005,Segmental autonomic dysfunction (disorder),25,25
Autonomic neuropathy (disorder),277879009,192918007,Autonomic neuropathy due to amyloidosis (disorder),25,25
Autonomic neuropathy (disorder),277879009,128123007,Disorder of peripheral autonomic nervous system (disorder),25,25
Autonomic neuropathy (disorder),277879009,84438001,Pure autonomic failure (disorder),25,25
Autonomic neuropathy (disorder),277879009,61830005,Sphenopalatine neuralgia (disorder),25,25
Orthostatic hypotension (disorder),28651003,735908000,Postural hypotension following exercise (disorder),8,8
Orthostatic hypotension (disorder),28651003,718685006,Orthostatic hypotension co-occurrent and due to Parkinson's disease (disorder),8,8
Orthostatic hypotension (disorder),28651003,371073003,Postural orthostatic tachycardia syndrome (disorder),8,8
Orthostatic hypotension (disorder),28651003,230664009,Sympathotonic orthostatic hypotension (disorder),8,8
Orthostatic hypotension (disorder),28651003,75181005,Chronic orthostatic hypotension (disorder),8,8
Orthostatic hypotension (disorder),28651003,70247006,Hypoadrenergic postural hypotension (disorder),8,8
Orthostatic hypotension (disorder),28651003,61933008,Hyperadrenergic postural hypotension (disorder),8,8
Orthostatic hypotension (disorder),28651003,28651003,Orthostatic hypotension (disorder),8,8
Autopsy examination (procedure),29240004,702692002,Coroner's autopsy (procedure),20,20
Autopsy examination (procedure),29240004,430339001,Pediatric autopsy (procedure),20,20
Autopsy examination (procedure),29240004,90864005,"Special autopsy procedure, explain by report (procedure)",20,20
Autopsy examination (procedure),29240004,82823006,"Autopsy, gross examination with brain (procedure)",20,20
Autopsy examination (procedure),29240004,74348008,"Autopsy, gross and microscopic examination, limited (procedure)",20,20
Autopsy examination (procedure),29240004,72598009,"Autopsy, gross examination, limited (procedure)",20,20
Autopsy examination (procedure),29240004,57438004,"Autopsy, gross and microscopic examination, regional (procedure)",20,20
Autopsy examination (procedure),29240004,56417000,"Autopsy, gross and microscopic examination with brain (procedure)",20,20
Autopsy examination (procedure),29240004,50333006,"Autopsy, gross examination, macerated stillborn (procedure)",20,20
Autopsy examination (procedure),29240004,47847005,"Autopsy, gross examination, limited, regional (procedure)",20,20
Autopsy examination (procedure),29240004,47197006,"Autopsy, gross examination with brain and spinal cord (procedure)",20,20
Autopsy examination (procedure),29240004,41770000,"Autopsy, gross and microscopic examination (procedure)",20,20
Autopsy examination (procedure),29240004,41554000,"Autopsy, gross and microscopic examination with brain and spinal cord (procedure)",20,20
Autopsy examination (procedure),29240004,35459000,"Autopsy, gross examination, stillborn or newborn (procedure)",20,20
Autopsy examination (procedure),29240004,29240004,Autopsy examination (procedure),20,20
Autopsy examination (procedure),29240004,26762004,"Autopsy, gross examination, teaching, complete (procedure)",20,20
Autopsy examination (procedure),29240004,22677004,"Autopsy, gross examination, teaching, limited (procedure)",20,20
Autopsy examination (procedure),29240004,16361008,"Autopsy, gross and microscopic examination, stillborn or newborn (procedure)",20,20
Autopsy examination (procedure),29240004,5785009,Forensic autopsy (procedure),20,20
Autopsy examination (procedure),29240004,4447001,"Autopsy, gross and microscopic examination, stillborn or newborn without central nervous system (procedure)",20,20
Retinal disorder (disorder),29555009,430801000124103,Proliferative retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,870346008,Retinopathy due to atherosclerosis (disorder),65,65
Retinal disorder (disorder),29555009,783612007,Acute annular outer retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,724809006,Autoimmune retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,723512008,Revesz syndrome (disorder),65,65
Retinal disorder (disorder),29555009,723169001,Background retinopathy due to impaired glucose regulation (disorder),65,65
Retinal disorder (disorder),29555009,722110003,"Osteogenesis imperfecta, retinopathy, seizures, intellectual disability syndrome (disorder)",65,65
Retinal disorder (disorder),29555009,721862000,Joubert syndrome with oculorenal defect (disorder),65,65
Retinal disorder (disorder),29555009,716998009,Joubert syndrome with ocular defect (disorder),65,65
Retinal disorder (disorder),29555009,716717005,Retinopathy caused by canthaxanthin (disorder),65,65
Retinal disorder (disorder),29555009,711482008,Cerebroretinal microangiopathy with calcifications and cysts (disorder),65,65
Retinal disorder (disorder),29555009,699763005,Focal choroiditis of posterior pole of eye (disorder),65,65
Retinal disorder (disorder),29555009,424909003,Toxic retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,421689001,Retinal pigment epithelial abnormality (disorder),65,65
Retinal disorder (disorder),29555009,421460008,Retinopathy associated with acquired immunodeficiency syndrome (disorder),65,65
Retinal disorder (disorder),29555009,419459000,Retinal light toxicity (disorder),65,65
Retinal disorder (disorder),29555009,417125003,Hamartoma of retina (disorder),65,65
Retinal disorder (disorder),29555009,415297005,Retinopathy of prematurity (disorder),65,65
Retinal disorder (disorder),29555009,404663008,Paraneoplastic retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,399463004,Retinitis (disorder),65,65
Retinal disorder (disorder),29555009,367649002,Epiretinal membrane (disorder),65,65
Retinal disorder (disorder),29555009,314437001,Slow flow retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,313164002,Macular displacement (disorder),65,65
Retinal disorder (disorder),29555009,312999006,Disorder of macula of retina (disorder),65,65
Retinal disorder (disorder),29555009,312929003,Acute zonal occult outer retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,309596003,Retinal abnormality - non-diabetes (disorder),65,65
Retinal disorder (disorder),29555009,309594000,Advanced retinal disease (disorder),65,65
Retinal disorder (disorder),29555009,262756006,Injury of retina (disorder),65,65
Retinal disorder (disorder),29555009,241973007,High altitude retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,232073009,Angiomatosis of retina (disorder),65,65
Retinal disorder (disorder),29555009,232066004,Retinal incarceration (disorder),65,65
Retinal disorder (disorder),29555009,232062002,Hereditary vitreoretinopathy (disorder),65,65
Retinal disorder (disorder),29555009,232030000,Purtscher's retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,232027007,Photocoagulation burn to retina (disorder),65,65
Retinal disorder (disorder),29555009,193691005,Delayed rod or cone adaption (disorder),65,65
Retinal disorder (disorder),29555009,193690006,Abnormal rod or cone threshold (disorder),65,65
Retinal disorder (disorder),29555009,193683001,Color blindness (disorder),65,65
Retinal disorder (disorder),29555009,193428001,Retinal nerve fiber bundle deficiency (disorder),65,65
Retinal disorder (disorder),29555009,193357001,Renal retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,128331005,Optic disc disorder (disorder),65,65
Retinal disorder (disorder),29555009,127002001,Neoplasm of retina (disorder),65,65
Retinal disorder (disorder),29555009,95695004,Degeneration of retina (disorder),65,65
Retinal disorder (disorder),29555009,95694000,Retinal depigmentation (disorder),65,65
Retinal disorder (disorder),29555009,95693006,Hyperviscosity retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,95692001,Lipidemia retinalis (disorder),65,65
Retinal disorder (disorder),29555009,93470007,Hemangioma of retina (disorder),65,65
Retinal disorder (disorder),29555009,67638006,Pseudocyst of retina (disorder),65,65
Retinal disorder (disorder),29555009,66485003,Retinal scar (disorder),65,65
Retinal disorder (disorder),29555009,65194006,Night blindness (disorder),65,65
Retinal disorder (disorder),29555009,57534004,Retinal vascular disorder (disorder),65,65
Retinal disorder (disorder),29555009,52357004,Cyst of retina (disorder),65,65
Retinal disorder (disorder),29555009,49381001,Congenital anomaly of retina (disorder),65,65
Retinal disorder (disorder),29555009,42059000,Retinal detachment (disorder),65,65
Retinal disorder (disorder),29555009,40024006,Retinal defect (disorder),65,65
Retinal disorder (disorder),29555009,29555009,Retinal disorder (disorder),65,65
Retinal disorder (disorder),29555009,28998008,Retinal hemorrhage (disorder),65,65
Retinal disorder (disorder),29555009,26468004,Retinal ischemia (disorder),65,65
Retinal disorder (disorder),29555009,25506007,Exudative retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,24005006,Vitreoretinal adhesion (disorder),65,65
Retinal disorder (disorder),29555009,11603001,Sickle cell retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,6962006,Hypertensive retinopathy (disorder),65,65
Retinal disorder (disorder),29555009,6141006,Retinal edema (disorder),65,65
Retinal disorder (disorder),29555009,4855003,Retinopathy due to diabetes mellitus (disorder),65,65
Retinal disorder (disorder),29555009,1361009,Leukocoria (disorder),65,65
Retinal disorder (disorder),29555009,1079004,Macular retinal cyst (disorder),65,65
Nail problem (finding),297989000,297989000,Nail problem (finding),1,1
Chest pain (finding),29857009,97001000119106,Localized chest pain (finding),33,33
Chest pain (finding),29857009,34791000119103,Chest pain due to pericarditis (finding),33,33
Chest pain (finding),29857009,426396005,Cardiac chest pain (finding),33,33
Chest pain (finding),29857009,371030007,Squeezing chest pain (finding),33,33
Chest pain (finding),29857009,285389008,Upper chest pain (finding),33,33
Chest pain (finding),29857009,285386001,Right sided chest pain (finding),33,33
Chest pain (finding),29857009,285385002,Left sided chest pain (finding),33,33
Chest pain (finding),29857009,281245003,Musculoskeletal chest pain (finding),33,33
Chest pain (finding),29857009,279048002,Internal mammary artery syndrome (finding),33,33
Chest pain (finding),29857009,274668005,Non-cardiac chest pain (finding),33,33
Chest pain (finding),29857009,274664007,Chest pain on breathing (finding),33,33
Chest pain (finding),29857009,247389006,Intercostal neuralgia (finding),33,33
Chest pain (finding),29857009,233845001,Cardiac syndrome X (finding),33,33
Chest pain (finding),29857009,230648001,Abdominal cutaneous nerve entrapment syndrome (disorder),33,33
Chest pain (finding),29857009,225566008,Ischemic chest pain (finding),33,33
Chest pain (finding),29857009,194828000,Angina (disorder),33,33
Chest pain (finding),29857009,161974007,Parasternal pain (finding),33,33
Chest pain (finding),29857009,103015000,Thoracic nerve root pain (finding),33,33
Chest pain (finding),29857009,102589003,Atypical chest pain (finding),33,33
Chest pain (finding),29857009,102588006,Chest wall pain (finding),33,33
Chest pain (finding),29857009,102587001,Acute chest pain (finding),33,33
Chest pain (finding),29857009,81953000,Chest pain on exertion (finding),33,33
Chest pain (finding),29857009,71884009,Precordial pain (finding),33,33
Chest pain (finding),29857009,59139008,Crushing chest pain (finding),33,33
Chest pain (finding),29857009,53430007,Pain of breast (finding),33,33
Chest pain (finding),29857009,36859004,Esophageal chest pain (finding),33,33
Chest pain (finding),29857009,29857009,Chest pain (finding),33,33
Chest pain (finding),29857009,13057000,Pleuropericardial chest pain (finding),33,33
Chest pain (finding),29857009,10000006,Radiating chest pain (finding),33,33
Chest pain (finding),29857009,9267009,Chest pain at rest (finding),33,33
Chest pain (finding),29857009,4568003,Retrosternal pain (finding),33,33
Chest pain (finding),29857009,3368006,Dull chest pain (finding),33,33
Chest pain (finding),29857009,2237002,Pleuritic pain (finding),33,33
Disturbance of consciousness (finding),3006004,15625571000119102,Nonspecific paroxysmal spell (finding),23,23
Disturbance of consciousness (finding),3006004,792858001,Post-injection delirium sedation syndrome (finding),23,23
Disturbance of consciousness (finding),3006004,736315009,Dissociative neurological symptom disorder co-occurrent with alteration of consciousness (disorder),23,23
Disturbance of consciousness (finding),3006004,709012003,Minimally conscious state (disorder),23,23
Disturbance of consciousness (finding),3006004,443371007,Decreased level of consciousness (finding),23,23
Disturbance of consciousness (finding),3006004,419567006,Delirious (finding),23,23
Disturbance of consciousness (finding),3006004,418107008,Unconscious (finding),23,23
Disturbance of consciousness (finding),3006004,386705008,Lightheadedness (finding),23,23
Disturbance of consciousness (finding),3006004,285741001,Vacant episode (finding),23,23
Disturbance of consciousness (finding),3006004,271783006,Semiconscious (finding),23,23
Disturbance of consciousness (finding),3006004,271782001,Drowsy (finding),23,23
Disturbance of consciousness (finding),3006004,248228001,Funny turn (finding),23,23
Disturbance of consciousness (finding),3006004,248227006,Absences (finding),23,23
Disturbance of consciousness (finding),3006004,248226002,Being out of body (finding),23,23
Disturbance of consciousness (finding),3006004,248223005,Feeling faint (finding),23,23
Disturbance of consciousness (finding),3006004,90172009,Narcosis (finding),23,23
Disturbance of consciousness (finding),3006004,81879005,Whiteout (finding),23,23
Disturbance of consciousness (finding),3006004,70503004,Hypnotic state (finding),23,23
Disturbance of consciousness (finding),3006004,40917007,Clouded consciousness (finding),23,23
Disturbance of consciousness (finding),3006004,34951003,Drugged state (finding),23,23
Disturbance of consciousness (finding),3006004,31804002,Grayout (finding),23,23
Disturbance of consciousness (finding),3006004,17971005,Sedated (finding),23,23
Disturbance of consciousness (finding),3006004,3006004,Disturbance of consciousness (finding),23,23
