snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation,coverage
Marfan's syndrome (disorder),19346006,715439000,Familial partial lipodystrophy type 2 (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Marfan's syndrome (disorder),19346006,702359002,Congenital stromal corneal dystrophy (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Marfan's syndrome (disorder),19346006,419395007,Schnyder crystalline cornea dystrophy (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Marfan's syndrome (disorder),19346006,389272007,Carpotarsal osteochondromatosis (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Marfan's syndrome (disorder),19346006,361199007,Lattice corneal dystrophy (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Marfan's syndrome (disorder),19346006,254044004,Multiple congenital exostosis (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Marfan's syndrome (disorder),19346006,205481009,Metachondromatosis (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Marfan's syndrome (disorder),19346006,205480005,Dysplasia epiphysealis hemimelica (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Marfan's syndrome (disorder),19346006,45283008,Granular corneal dystrophy (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Marfan's syndrome (disorder),19346006,19346006,Marfan's syndrome (disorder),(<!363045008|Connective tissue hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,26,26
Insomnia (disorder),193462001,193462001,Insomnia (disorder),(<!194437008|Disorders of initiating and maintaining sleep (disorder)| AND <!44186003|Dyssomnia (disorder)|)&limit=7000,1,1
Cataract (disorder),193570009,193570009,Cataract (disorder),(<!247052002|Cataract finding (finding)| AND <!62585004|Degenerative disorder of eye (disorder)| AND <!10810001|Disorder of lens (disorder)|)&limit=7000,1,1
Color blindness (disorder),193683001,193683001,Color blindness (disorder),(<!63102001|Visual disturbance (disorder)| AND <!29555009|Retinal disorder (disorder)|)&limit=7000,1,1
Angina (disorder),194828000,194828000,Angina (disorder),(<!29857009|Chest pain (finding)| AND <!301358001|Pain of cardiovascular structure (finding)| AND <!373673007|Disorder characterized by pain (disorder)| AND <!414545008|Ischemic heart disease (disorder)|)&limit=7000,1,1
Raynaud's disease (disorder),195295006,713033007,Dissection of artery of upper extremity (disorder),(<!363340006|Vascular disorder of extremity (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,9,9
Raynaud's disease (disorder),195295006,712582008,Pseudoaneurysm of artery of upper extremity (disorder),(<!363340006|Vascular disorder of extremity (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,9,9
Raynaud's disease (disorder),195295006,443971004,Arteriosclerosis of artery of extremity (disorder),(<!363340006|Vascular disorder of extremity (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,9,9
Raynaud's disease (disorder),195295006,306855008,Thrombosis of axillofemoral bypass graft (disorder),(<!363340006|Vascular disorder of extremity (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,9,9
Raynaud's disease (disorder),195295006,234033004,Vibration syndrome (disorder),(<!363340006|Vascular disorder of extremity (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,9,9
Raynaud's disease (disorder),195295006,234026004,Steal syndrome of upper limb (disorder),(<!363340006|Vascular disorder of extremity (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,9,9
Raynaud's disease (disorder),195295006,195295006,Raynaud's disease (disorder),(<!363340006|Vascular disorder of extremity (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,9,9
Raynaud's disease (disorder),195295006,195254008,Extremity artery atheroma (disorder),(<!363340006|Vascular disorder of extremity (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,9,9
Raynaud's disease (disorder),195295006,77788005,Vasomotor acroparesthesia (disorder),(<!363340006|Vascular disorder of extremity (disorder)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,9,9
Granulomatosis with polyangiitis (disorder),195353004,195353004,Granulomatosis with polyangiitis (disorder),(<!722191003|Antineutrophil cytoplasmic antibody positive vasculitis (disorder)| AND <!407530004|Primary systemic vasculitis (disorder)|)&limit=7000,1,1
Legionella pneumonia (disorder),195889001,195889001,Legionella pneumonia (disorder),(<!26726000|Legionella infection (disorder)| AND <!409665004|Pneumonia caused by aerobic bacteria (disorder)| AND <!430395005|Pneumonia caused by Gram negative bacteria (disorder)|)&limit=7000,1,1
Pleurisy (disorder),196075003,196075003,Pleurisy (disorder),(<!363169009|Inflammation of specific body organs (disorder)| AND <!373405005|Inflammatory disorder of the respiratory system (disorder)| AND <!88075009|Disorder of pleura (disorder)|)&limit=7000,1,1
Acute pancreatitis (disorder),197456007,721724009,Acute on chronic pancreatitis (disorder),(<!128482007|Acute inflammatory disease (disorder)| AND <!75694006|Pancreatitis (disorder)| AND <!127321000|Acute digestive system disorder (disorder)|)&limit=7000,2,2
Acute pancreatitis (disorder),197456007,197456007,Acute pancreatitis (disorder),(<!128482007|Acute inflammatory disease (disorder)| AND <!75694006|Pancreatitis (disorder)| AND <!127321000|Acute digestive system disorder (disorder)|)&limit=7000,2,2
Chronic interstitial cystitis (disorder),197834003,197834003,Chronic interstitial cystitis (disorder),(<!280133005|Disorder of soft tissue of trunk (disorder)| AND <!363044007|Connective tissue disorder by body site (disorder)| AND <!33655002|Chronic cystitis (disorder)|)&limit=7000,1,1
Female pelvic inflammatory disease (disorder),198130006,198130006,Female pelvic inflammatory disease (disorder),(<!312196000|Female genital infection (disorder)| AND <!442506007|Inflammatory disease of female genital structure (disorder)|)&limit=7000,1,1
Retinoblastoma (morphologic abnormality),19906005,76060004,Esthesioneuroblastoma (morphologic abnormality),"(<!127576008|Malignant neuroendocrine neoplasm, neural (morphologic abnormality)| AND <!115241005|Neuroepitheliomatous neoplasm (morphologic abnormality)|)&limit=7000",3,3
Retinoblastoma (morphologic abnormality),19906005,68614005,Esthesioneuroepithelioma (morphologic abnormality),"(<!127576008|Malignant neuroendocrine neoplasm, neural (morphologic abnormality)| AND <!115241005|Neuroepitheliomatous neoplasm (morphologic abnormality)|)&limit=7000",3,3
Retinoblastoma (morphologic abnormality),19906005,19906005,Retinoblastoma (morphologic abnormality),"(<!127576008|Malignant neuroendocrine neoplasm, neural (morphologic abnormality)| AND <!115241005|Neuroepitheliomatous neoplasm (morphologic abnormality)|)&limit=7000",3,3
Cirrhosis of liver (disorder),19943007,19943007,Cirrhosis of liver (disorder),(<!62484002|Hepatic fibrosis (disorder)| AND <!65860006|Liver regeneration (disorder)| AND <!328383001|Chronic liver disease (disorder)|)&limit=7000,1,1
Borderline personality disorder (disorder),20010003,20010003,Borderline personality disorder (disorder),(<!191765005|Emotionally unstable personality disorder (disorder)| AND <!4306003|Cluster B personality disorder (disorder)|)&limit=7000,1,1
Ocular rosacea (disorder),200933006,200933006,Ocular rosacea (disorder),(<!400082007|Disorder of skin of head (disorder)| AND <!280131007|Disorder of soft tissue of head (disorder)| AND <!398909004|Rosacea (disorder)| AND <!371409005|Disorder of eye region (disorder)| AND <!118930001|Disorder of face (disorder)|)&limit=7000,1,1
Lupus erythematosus (disorder),200936003,362992004,Autoimmune connective tissue disorder (disorder),(<!105969002|Disorder of connective tissue (disorder)| AND <!85828009|Autoimmune disease (disorder)|)&limit=7000,2,2
Lupus erythematosus (disorder),200936003,200936003,Lupus erythematosus (disorder),(<!105969002|Disorder of connective tissue (disorder)| AND <!85828009|Autoimmune disease (disorder)|)&limit=7000,2,2
Callosity (disorder),201040000,201101007,Actinic keratosis (disorder),(<!707209001|Keratoderma (disorder)| AND <!373591006|Disorders of skin caused by physical agents (disorder)|)&limit=7000,2,2
Callosity (disorder),201040000,201040000,Callosity (disorder),(<!707209001|Keratoderma (disorder)| AND <!373591006|Disorders of skin caused by physical agents (disorder)|)&limit=7000,2,2
Actinic keratosis (disorder),201101007,201101007,Actinic keratosis (disorder),(<!90128006|Photosensitivity (finding)| AND <!373591006|Disorders of skin caused by physical agents (disorder)| AND <!707209001|Keratoderma (disorder)| AND <!254658001|Benign epithelial neoplasm of skin (disorder)|)&limit=7000,1,1
Chondrocalcinosis due to pyrophosphate crystals (disorder),201637001,201637001,Chondrocalcinosis due to pyrophosphate crystals (disorder),(<!53417006|Articular cartilage disorder (disorder)| AND <!239832006|Calcium pyrophosphate deposition disease (disorder)| AND <!239838005|Chondrocalcinosis (disorder)|)&limit=7000,1,1
Reactive arthritis (disorder),201736002,201736002,Reactive arthritis (disorder),(<!396233005|Arthropathy associated with infection (disorder)| AND <!239821006|Secondary inflammatory arthritis (disorder)| AND <!724606001|Peripheral spondyloarthritis (disorder)|)&limit=7000,1,1
Acetabular labrum tear (disorder),202336002,202336002,Acetabular labrum tear (disorder),(<!240140005|Tear of fibrocartilage of joint (disorder)| AND <!363044007|Connective tissue disorder by body site (disorder)| AND <!428097001|Disorder of hip joint (disorder)| AND <!125600009|Injury of hip region (disorder)|)&limit=7000,1,1
Plantar fasciitis (disorder),202882003,202882003,Plantar fasciitis (disorder),(<!118932009|Disorder of foot (disorder)| AND <!36948007|Fasciitis (disorder)| AND <!363179006|Inflammatory disorder of musculoskeletal system (disorder)| AND <!363044007|Connective tissue disorder by body site (disorder)| AND <!363175000|Inflammatory disorder of extremity (disorder)| AND <!280136002|Disorder of soft tissue of lower limb (disorder)| AND <!312225001|Musculoskeletal and connective tissue disorder (disorder)|)&limit=7000,1,1
Fibromyalgia (disorder),203082005,203082005,Fibromyalgia (disorder),(<!27624003|Chronic disease (disorder)| AND <!373673007|Disorder characterized by pain (disorder)| AND <!82423001|Chronic pain (finding)| AND <!279001004|Pain finding at anatomical site (finding)| AND <!129565002|Disorder of skeletal AND/OR smooth muscle (disorder)|)&limit=7000,1,1
Hyperosmolality (disorder),20313009,20313009,Hyperosmolality (disorder),(<!237840007|Disorder of electrolytes (disorder)| AND <!52600004|Osmolality disturbance (disorder)|)&limit=7000,1,1
Bone cyst (disorder),203465002,203465002,Bone cyst (disorder),(<!76069003|Disorder of bone (disorder)| AND <!300861003|Mass of musculoskeletal structure (finding)| AND <!441457006|Cyst (disorder)|)&limit=7000,1,1
Ebstein's anomaly of tricuspid valve (disorder),204357006,204357006,Ebstein's anomaly of tricuspid valve (disorder),(<!447830005|Congenital abnormality of tricuspid leaflet (disorder)| AND <!36133000|Abnormal position of cardiac valve (disorder)|)&limit=7000,1,1
Esophageal atresia with tracheoesophageal fistula (disorder),204659003,204659003,Esophageal atresia with tracheoesophageal fistula (disorder),(<!26179002|Congenital atresia of esophagus (disorder)| AND <!60983006|Congenital esophagotracheal fistula (disorder)|)&limit=7000,1,1
Hirschsprung's disease (disorder),204739008,204739008,Hirschsprung's disease (disorder),(<!737198009|Motility disorder of large intestine (disorder)| AND <!723183004|Aganglionosis of large intestine (disorder)| AND <!93058003|Congenital dilatation of intestinal tract (disorder)|)&limit=7000,1,1
Fracture of hand (disorder),20511007,20511007,Fracture of hand (disorder),(<!125599006|Injury of hand (disorder)| AND <!208388003|Fracture at wrist and/or hand level (disorder)| AND <!299043001|Finding of bone in hand (finding)|)&limit=7000,1,1
Pneumonitis (disorder),205237003,205237003,Pneumonitis (disorder),(<!128997002|Inflammatory disorder of lower respiratory tract (disorder)| AND <!363169009|Inflammation of specific body organs (disorder)| AND <!19829001|Disorder of lung (disorder)|)&limit=7000,1,1
"Urinary catheter, device (physical object)",20568009,286628000,Nephrostomy tube (physical object),"(<!19923001|Catheter, device (physical object)| AND <!303620002|Urogenital device (physical object)|)&limit=7000",2,2
"Urinary catheter, device (physical object)",20568009,20568009,"Urinary catheter, device (physical object)","(<!19923001|Catheter, device (physical object)| AND <!303620002|Urogenital device (physical object)|)&limit=7000",2,2
Fetal alcohol syndrome (disorder),205788004,205788004,Fetal alcohol syndrome (disorder),(<!609437000|Fetal Alcohol Spectrum Disorder (disorder)| AND <!609520005|Disorder of fetal structure (disorder)|)&limit=7000,1,1
Noonan's syndrome (disorder),205824006,205824006,Noonan's syndrome (disorder),"(<!699346009|Hereditary cancer-predisposing syndrome (disorder)| AND <!363070008|Developmental hereditary disorder (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)| AND <!77701002|Multiple malformation syndrome, moderate short stature, facial (disorder)|)&limit=7000",1,1
Castleman's disease (disorder),207036003,207036003,Castleman's disease (disorder),(<!20991001|Atypical lymphoproliferative disorder (disorder)| AND <!234088000|Hyperplastic lymph node (disorder)| AND <!30746006|Lymphadenopathy (disorder)| AND <!127071007|Immunoproliferative disorder (disorder)|)&limit=7000,1,1
Fracture at wrist and/or hand level (disorder),208388003,208388003,Fracture at wrist and/or hand level (disorder),(<!23406007|Fracture of upper limb (disorder)| AND <!897603007|Injury of wrist and/or hand (disorder)|)&limit=7000,1,1
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,726420002,Meningeal melanoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,128732001,Mucosal lentiginous melanoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,128731008,Meningeal melanomatosis (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,75931002,Malignant melanoma in giant pigmented nevus (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,70594002,Amelanotic melanoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,68827007,Spindle cell melanoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,67159000,"Blue nevus, malignant (morphologic abnormality)","(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,55320002,Superficial spreading melanoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,51757004,"Desmoplastic melanoma, malignant (morphologic abnormality)","(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,50813003,Mixed epithelioid and spindle cell melanoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,44474009,Malignant melanoma in Hutchinson's melanotic freckle (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,40244008,"Spindle cell melanoma, type B (morphologic abnormality)","(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,39896009,"Malignant melanoma, regressing (morphologic abnormality)","(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,39274007,Balloon cell melanoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,37138001,Epithelioid cell melanoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,24653009,"Spindle cell melanoma, type A (morphologic abnormality)","(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,18450009,Malignant melanoma in precancerous melanosis (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,16974005,"Acral lentiginous melanoma, malignant (morphologic abnormality)","(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,2142002,Nodular melanoma (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,2092003,"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)","(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2092003,915007,Malignant melanoma in junctional nevus (morphologic abnormality),"(<!86049000|Malignant neoplasm, primary (morphologic abnormality)| AND <!372156000|Malignant melanoma - category (morphologic abnormality)|)&limit=7000",21,21
Allergy to egg protein (finding),213020009,782555009,Allergy to cow's milk protein (finding),(<!414285001|Allergy to food (finding)| AND <!717234006|Allergy to animal protein (finding)|)&limit=7000,2,2
Allergy to egg protein (finding),213020009,213020009,Allergy to egg protein (finding),(<!414285001|Allergy to food (finding)| AND <!717234006|Allergy to animal protein (finding)|)&limit=7000,2,2
Fracture of phalanx of foot (disorder),21351003,21351003,Fracture of phalanx of foot (disorder),(<!282776008|Injury of toe (disorder)| AND <!263250005|Fracture of bone of forefoot (disorder)| AND <!299566005|Finding of musculoskeletal structure of toe (finding)|)&limit=7000,1,1
Subarachnoid intracranial hemorrhage (disorder),21454007,21454007,Subarachnoid intracranial hemorrhage (disorder),(<!450376009|Hemorrhage of intracranial meningeal space (disorder)| AND <!450362008|Hemorrhage into subarachnoid space of neuraxis (disorder)|)&limit=7000,1,1
Allergic rhinitis caused by pollen (disorder),21719001,21719001,Allergic rhinitis caused by pollen (disorder),(<!367498001|Seasonal allergic rhinitis (disorder)| AND <!420881009|Allergic disorder caused by substance (disorder)|)&limit=7000,1,1
Postherpetic neuralgia (disorder),2177002,2177002,Postherpetic neuralgia (disorder),(<!17111003|Postinfectious neuralgia (disorder)| AND <!123948009|Post-viral disorder (disorder)|)&limit=7000,1,1
Radial styloid tenosynovitis (disorder),21794005,442048005,Tenosynovitis of wrist (disorder),(<!3519007|Disorder of synovium (disorder)| AND <!363175000|Inflammatory disorder of extremity (disorder)| AND <!118947000|Disorder of upper extremity (disorder)| AND <!67801009|Tenosynovitis (disorder)|)&limit=7000,3,3
Radial styloid tenosynovitis (disorder),21794005,202915008,Extensor tenosynovitis of finger (disorder),(<!3519007|Disorder of synovium (disorder)| AND <!363175000|Inflammatory disorder of extremity (disorder)| AND <!118947000|Disorder of upper extremity (disorder)| AND <!67801009|Tenosynovitis (disorder)|)&limit=7000,3,3
Radial styloid tenosynovitis (disorder),21794005,21794005,Radial styloid tenosynovitis (disorder),(<!3519007|Disorder of synovium (disorder)| AND <!363175000|Inflammatory disorder of extremity (disorder)| AND <!118947000|Disorder of upper extremity (disorder)| AND <!67801009|Tenosynovitis (disorder)|)&limit=7000,3,3
Plagiocephaly (disorder),21850008,722902000,Cephalhematoma deformans of Schuller (disorder),(<!271084006|Deformity of bone (disorder)| AND <!118945008|Disorder of skull (disorder)|)&limit=7000,5,5
Plagiocephaly (disorder),21850008,430904007,Basilar skull invagination (disorder),(<!271084006|Deformity of bone (disorder)| AND <!118945008|Disorder of skull (disorder)|)&limit=7000,5,5
Plagiocephaly (disorder),21850008,86587003,Platybasia (disorder),(<!271084006|Deformity of bone (disorder)| AND <!118945008|Disorder of skull (disorder)|)&limit=7000,5,5
Plagiocephaly (disorder),21850008,21850008,Plagiocephaly (disorder),(<!271084006|Deformity of bone (disorder)| AND <!118945008|Disorder of skull (disorder)|)&limit=7000,5,5
Plagiocephaly (disorder),21850008,13649004,Brachycephaly (disorder),(<!271084006|Deformity of bone (disorder)| AND <!118945008|Disorder of skull (disorder)|)&limit=7000,5,5
Osler hemorrhagic telangiectasia syndrome (disorder),21877004,21877004,Osler hemorrhagic telangiectasia syndrome (disorder),(<!234141001|Congenital arteriovenous malformation (disorder)| AND <!247479008|Telangiectasia disorder (disorder)| AND <!363070008|Developmental hereditary disorder (disorder)| AND <!724842007|Congenital venous malformation of skin (disorder)| AND <!461415008|Hereditary dysplasia of blood vessel (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)| AND <!363185004|Hereditary disorder of the integument (disorder)| AND <!399960008|Congenital hamartoma (disorder)|)&limit=7000,1,1
Herpes zoster auricularis (disorder),21954000,21954000,Herpes zoster auricularis (disorder),(<!4740000|Herpes zoster (disorder)| AND <!300092000|Lesion of external ear (disorder)| AND <!312137007|Viral ear infection (disorder)| AND <!402697000|Infection of external ear (disorder)| AND <!402698005|Dermatitis of external ear (disorder)| AND <!422426003|Facial nerve disorder (disorder)| AND <!400020001|Herpes zoster dermatitis (disorder)|)&limit=7000,1,1
Hashimoto thyroiditis (disorder),21983002,21983002,Hashimoto thyroiditis (disorder),(<!413834006|Chronic disease of immune function (disorder)| AND <!66944004|Autoimmune thyroiditis (disorder)|)&limit=7000,1,1
Klinefelter syndrome (disorder),22053006,74398009,XX males (disorder),(<!111312006|Anomaly of chromosome X (disorder)| AND <!254284003|Sex chromosome abnormality - male phenotype (disorder)|)&limit=7000,2,2
Klinefelter syndrome (disorder),22053006,22053006,Klinefelter syndrome (disorder),(<!111312006|Anomaly of chromosome X (disorder)| AND <!254284003|Sex chromosome abnormality - male phenotype (disorder)|)&limit=7000,2,2
Nail-patella syndrome (disorder),22199006,22199006,Nail-patella syndrome (disorder),(<!35964007|Congenital anomaly of nail (disorder)| AND <!109420003|Dysostosis (disorder)| AND <!363070008|Developmental hereditary disorder (disorder)| AND <!363185004|Hereditary disorder of the integument (disorder)| AND <!363212003|Hereditary disorder of musculoskeletal system (disorder)| AND <!389276005|Congenital dysplasia of patella (disorder)| AND <!402775007|Genetic disorder of nail (disorder)| AND <!11164009|Autosomal dominant hereditary disorder (disorder)|)&limit=7000,1,1
Genuine stress incontinence (finding),22220005,281862002,Daytime enuresis (finding),(<!249585009|Bladder finding (finding)| AND <!450841000|Intermittent urinary incontinence (finding)|)&limit=7000,6,6
Genuine stress incontinence (finding),22220005,236665004,Postural urinary incontinence (finding),(<!249585009|Bladder finding (finding)| AND <!450841000|Intermittent urinary incontinence (finding)|)&limit=7000,6,6
Genuine stress incontinence (finding),22220005,236664000,Post-micturition incontinence (finding),(<!249585009|Bladder finding (finding)| AND <!450841000|Intermittent urinary incontinence (finding)|)&limit=7000,6,6
Genuine stress incontinence (finding),22220005,87557004,Urge incontinence of urine (finding),(<!249585009|Bladder finding (finding)| AND <!450841000|Intermittent urinary incontinence (finding)|)&limit=7000,6,6
Genuine stress incontinence (finding),22220005,22220005,Genuine stress incontinence (finding),(<!249585009|Bladder finding (finding)| AND <!450841000|Intermittent urinary incontinence (finding)|)&limit=7000,6,6
Genuine stress incontinence (finding),22220005,8009008,Nocturnal enuresis (finding),(<!249585009|Bladder finding (finding)| AND <!450841000|Intermittent urinary incontinence (finding)|)&limit=7000,6,6
Myocardial infarction (disorder),22298006,22298006,Myocardial infarction (disorder),(<!57809008|Myocardial disease (disorder)| AND <!414545008|Ischemic heart disease (disorder)| AND <!251061000|Myocardial necrosis (finding)| AND <!609410002|Necrosis of anatomical site (disorder)|)&limit=7000,1,1
Vasectomy (procedure),22523008,22523008,Vasectomy (procedure),(<!120013000|Vas deferens excision (procedure)| AND <!399141000|Male sterilization (procedure)|)&limit=7000,1,1
Transcutaneous electrical nerve stimulation (regime/therapy),229559001,229559001,Transcutaneous electrical nerve stimulation (regime/therapy),(<!270900005|Electrical nerve stimulation procedure (procedure)| AND <!57942008|Therapeutic electrical stimulation (regime/therapy)|)&limit=7000,1,1
Developmental verbal dyspraxia (disorder),229703009,229703009,Developmental verbal dyspraxia (disorder),(<!74227009|Apraxic aphonia (disorder)| AND <!361277007|Verbal dyspraxia (disorder)|)&limit=7000,1,1
Post-traumatic dementia (disorder),230282000,733185001,Dementia following injury caused by exposure to ionizing radiation (disorder),(<!52448006|Dementia (disorder)| AND <!127295002|Traumatic brain injury (disorder)|)&limit=7000,2,2
Post-traumatic dementia (disorder),230282000,230282000,Post-traumatic dementia (disorder),(<!52448006|Dementia (disorder)| AND <!127295002|Traumatic brain injury (disorder)|)&limit=7000,2,2
Multiple system atrophy (disorder),230297002,724813004,Autonomic nervous system disorder co-occurrent and due to neurodegenerative disorder (disorder),(<!80690008|Degenerative disease of the central nervous system (disorder)| AND <!15241006|Disorder of autonomic nervous system (disorder)|)&limit=7000,2,2
Multiple system atrophy (disorder),230297002,230297002,Multiple system atrophy (disorder),(<!80690008|Degenerative disease of the central nervous system (disorder)| AND <!15241006|Disorder of autonomic nervous system (disorder)|)&limit=7000,2,2
Hereditary liability to pressure palsies (disorder),230558006,230559003,Hereditary hypertrophic neuropathy with paraproteinemia (disorder),(<!65017003|Hereditary peripheral neuropathy (disorder)| AND <!386033004|Neuropathy (disorder)|)&limit=7000,3,3
